ind,key,docs,classification,class,category_map,real_cat,label,scores,real_final,pred_final
171,WifiP2pManager_requestPeers,"request peers .this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.4351242482662201,network,network
175,Calendar_getActualMinimum,"get actual minimum . icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information,calendar information,calendar information,0.546420693397522,calendar,calendar
177,PresetReverb_setPreset,"set preset .a sound generated within a room travels in many directions  the listener first hears the direct sound from the source itself  later, he or she hears discrete echoes caused by sound bouncing off nearby walls, the ceiling and the floor  as sound waves arrive after undergoing more and more reflections, individual reflections become indistinguishable and the listener hears continuous reverberation that decays over time  reverb is vital for modeling a listener's environment  it can be used in music applications to simulate music being played back in various environments, or in games to immerse the listener within the game's environment  the preset reverb class allows an application to configure the global reverb using a reverb preset  this is primarily used for adding some reverb in a music playback context  applications requiring control over a more advanced environmental reverb are advised to use the environmental reverb class",sink,PresetReverb,audio,audio,audio information,0.31174445152282715,audio,audio
181,AccountManager_addOnAccountsUpdatedListener,"add on accounts updated listener .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",sink,AccountManager,user account,user account,user information,0.2792794108390808,user account,user account
183,Calendar_getTime,"get time . icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information,calendar information,calendar information,0.4709503650665283,calendar,calendar
186,WifiP2pManager_createGroup,"create group .this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.4865615665912628,network,network
188,SQLiteDatabase_getAttachedDbs,get attached dbs .exposes methods to manage a s q lite database,source,SQLiteDatabase,database,database,database information,0.4640042185783386,database,database
189,SmsManager_sendMultipartTextMessage,"send multipart text message .manages sms operations such as sending data, text, and pdu sms messages  get this object by calling the static method get default  to create an instance of sms manager associated with a specific subscription i d, call get sms manager for subscription id  this is typically used for devices that support multiple active subscriptions at once",sink,SmsManager,text message,system settings,text message,0.41630059480667114,system settings,text message
191,HttpURLConnection_getRequestMethod,get request method .a url connection with support for http specific features  see  the spec  for details,source,HttpURLConnection,no category,network connection,network information,0.30500081181526184,network,network
192,DatagramSocket_getTrafficClass,get traffic class .this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category,network connection,network connection,0.324971467256546,network,network
193,IsoDep_getHistoricalBytes,get historical bytes .provides access to iso dep  properties and input or output operations on a tag,source,IsoDep,nfc information,nfc information,media,0.1005166545510292,nfc,media
200,AudioTrack_setPositionNotificationPeriod,"set position notification period .the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",sink,AudioTrack,audio,audio,audio information,0.5395267605781555,audio,audio
201,AudioManager_setParameters,set parameters .audio manager provides access to volume and ringer mode control,sink,AudioManager,audio,audio,audio information,0.5059963464736938,audio,audio
206,ClassLoader_getResources,"get resources .a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",source,ClassLoader,network information,system settings,file information,0.47935134172439575,system settings,files
209,AccountManager_peekAuthToken,"peek auth token .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.312848299741745,user account,user account
212,DownloadManager_query,"query .the download manager is a system service that handles long running http downloads  clients may request that a uri be downloaded to a particular destination file  the download manager will conduct the download in the background, taking care of http interactions and retrying downloads after failures or across connectivity changes and system reboots",source,DownloadManager,no category,files,media,0.13415001332759857,files,media
213,BackupAgent_onRestoreFile,"on restore file .provides the central interface between an application and android's data backup infrastructure   an application that wishes to participate in the backup and restore mechanism will declare a subclass of backup agent, implement the on backup and on restore methods, and provide the name of its backup agent class in its android manifest xml file via the <application> tag's android:backup agent attribute",sink,BackupAgent,files,files,file information,0.3388059735298157,files,files
215,Log_println,println .api for sending log output,sink,Log,log,log,logging,0.3837091028690338,log,log
216,AudioManager_setStreamVolume,set stream volume .audio manager provides access to volume and ringer mode control,sink,AudioManager,audio,audio,audio information,0.47261670231819153,audio,audio
217,Calendar_setTime,"set time . icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",sink,Calendar,no category,calendar,calendar information,0.4207089841365814,calendar,calendar
218,ClassLoader_getSystemResource,"get system resource .a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",source,ClassLoader,network information,system settings,file information,0.450033575296402,system settings,files
220,NfcF_getManufacturer,get manufacturer .provides access to nfc f  properties and input or output operations on a tag,source,NfcF,nfc information,nfc information,nfc information,0.3676884174346924,nfc,nfc
226,SQLiteDatabase_rawQueryWithFactory,raw query with factory .exposes methods to manage a s q lite database,source,SQLiteDatabase,database,database,database,0.3930443525314331,database,database
228,AccountManager_removeAccount,"remove account .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.3395172953605652,user account,user account
236,WifiP2pManager_requestConnectionInfo,"request connection info .this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.30237916111946106,network,network
238,ClassLoader_getParent,"get parent .a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",source,ClassLoader,network information,system settings,file information,0.5208749771118164,system settings,files
240,UiModeManager_enableCarMode,enable car mode .this class provides access to the system uimode services   these services allow applications to control ui modes of the device  it provides functionality to disable the car mode and it gives access to the night mode settings,sink,UiModeManager,log,system settings,system settings,0.23464055359363556,system settings,system settings
242,DownloadManager_getUriForDownloadedFile,"get uri for downloaded file .the download manager is a system service that handles long running http downloads  clients may request that a uri be downloaded to a particular destination file  the download manager will conduct the download in the background, taking care of http interactions and retrying downloads after failures or across connectivity changes and system reboots",source,DownloadManager,files,files,file information,0.27021631598472595,files,files
245,WifiP2pManager_discoverPeers,"discover peers .this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.3673902750015259,network,network
247,SSLContext_getServerSessionContext,get server session context .instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,source,SSLContext,network information,network information,network information,0.27554580569267273,network,network
248,GregorianCalendar_getActualMinimum,"get actual minimum . icu's replacement for gregorian calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,GregorianCalendar,calendar information,calendar information,calendar information,0.5609205365180969,calendar,calendar
250,NsdManager_resolveService,"resolve service .the network service discovery manager class provides the api to discover services on a network  as an example, if device a and device b are connected over a wifi network, a game registered on device a can be discovered by a game on device b  another example use case is an application discovering printers on the network",sink,NsdManager,network connection,network connection,network information,0.22881604731082916,network,network
251,DatagramSocket_setReceiveBufferSize,set receive buffer size .this class represents a socket for sending and receiving datagram packets,sink,DatagramSocket,no category,network connection,network information,0.3142026662826538,network,network
255,AudioTrack_getChannelConfiguration,"get channel configuration .the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.5701752305030823,audio,audio
256,NsdManager_registerService,"register service .the network service discovery manager class provides the api to discover services on a network  as an example, if device a and device b are connected over a wifi network, a game registered on device a can be discovered by a game on device b  another example use case is an application discovering printers on the network",sink,NsdManager,network connection,network connection,network information,0.27357274293899536,network,network
258,NfcF_getMaxTransceiveLength,get max transceive length .provides access to nfc f  properties and input or output operations on a tag,source,NfcF,nfc information,nfc information,nfc information,0.4136640131473541,nfc,nfc
265,LogPrinter_println,println .implementation of a printer that sends its output to the system log,sink,LogPrinter,log,log,logging,0.4005579352378845,log,log
270,SQLiteDatabase_setMaximumSize,set maximum size .exposes methods to manage a s q lite database,sink,SQLiteDatabase,no category,database,database,0.4533384144306183,database,database
288,AccountManager_getAuthToken,"get auth token .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.41205644607543945,user account,user account
292,ScanResult_writeToParcel,write to parcel .scan result for bluetooth le scan,sink,ScanResult,network connection,bluetooth,bluetooth,0.3899816870689392,bluetooth,bluetooth
294,SQLiteProgram_bindLong,bind long .a base class for compiled s q lite programs,sink,SQLiteProgram,no category,database,media,0.17517869174480438,database,media
295,SSLContext_getSocketFactory,get socket factory .instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,source,SSLContext,network information,network connection,network information,0.15878266096115112,network,network
302,SQLiteDatabase_getVersion,get version .exposes methods to manage a s q lite database,source,SQLiteDatabase,database,database,database information,0.46776971220970154,database,database
303,SSLParameters_getProtocols,"get protocols .encapsulates parameters for an ssl or  tls connection  the parameters are the list of ciphersuites to be accepted in an ssl or  tls handshake, the list of protocols to be allowed, the endpoint identification algorithm during ssl or  tls handshaking, the server name indication , the algorithm constraints and whether ssl or  tls servers should request or require client authentication, etc",source,SSLParameters,network information,network connection,network information,0.28121674060821533,network,network
304,SSLEngine_getPeerPort,"get peer port .a class which enables secure communications using protocols such as the secure sockets layer  or  ietf rfc 2246 "" transport layer security""   protocols, but is transport independent",source,SSLEngine,network information,network connection,network information,0.2052527219057083,network,network
308,AudioManager_setMode,set mode .audio manager provides access to volume and ringer mode control,sink,AudioManager,audio,audio,audio information,0.4954923093318939,audio,audio
311,SSLContext_getProtocol,get protocol .instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,source,SSLContext,network information,network connection,network information,0.24443858861923218,network,network
323,DatagramSocket_setBroadcast,set broadcast .this class represents a socket for sending and receiving datagram packets,sink,DatagramSocket,no category,network connection,network connection,0.29005441069602966,network,network
329,AccountManager_newChooseAccountIntent,"new choose account intent .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",sink,AccountManager,user account,user account,user information,0.25612807273864746,user account,user account
330,CalendarView_getDateTextAppearance,get date text appearance .this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable,source,CalendarView,calendar information,calendar information,calendar information,0.903097927570343,calendar,calendar
335,WebSettings_getJavaScriptEnabled,"get java script enabled .manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",source,WebSettings,system settings,system settings,media,0.16047659516334534,system settings,media
337,WifiP2pManager_stopPeerDiscovery,"stop peer discovery .this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.43423977494239807,network,network
338,RandomAccessFile_setLength,"set length .instances of this class support both reading and writing to a random access file  a random access file behaves like a large array of bytes stored in the file system  there is a kind of cursor, or index into the implied array, called the file pointer; input operations read bytes starting at the file pointer and advance the file pointer past the bytes read  if the random access file is created in read or write mode, then output operations are also available; output operations write bytes starting at the file pointer and advance the file pointer past the bytes written  output operations that write past the current end of the implied array cause the array to be extended  the file pointer can be read by the get file pointer method and set by the seek method",sink,RandomAccessFile,files,files,media,0.13822107017040253,files,media
340,DatagramSocket_getLocalAddress,get local address .this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category,network connection,network information,0.27234700322151184,network,network
341,AccountManager_setPassword,"set password .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",sink,AccountManager,user account,user account,user information,0.36916473507881165,user account,user account
342,AudioTrack_setPlaybackRate,"set playback rate .the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",sink,AudioTrack,audio,audio,audio information,0.5327178239822388,audio,audio
349,AccountManager_blockingGetAuthToken,"blocking get auth token .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.3065108358860016,user account,user account
350,SQLiteProgram_bindString,bind string .a base class for compiled s q lite programs,sink,SQLiteProgram,no category,database,media,0.15292492508888245,database,media
354,AccountManager_getAccounts,"get accounts .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.38411593437194824,user account,user account
355,SSLContext_getServerSocketFactory,get server socket factory .instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,source,SSLContext,network information,network information,network information,0.2197556346654892,network,network
360,DownloadManager_getMimeTypeForDownloadedFile,"get mime type for downloaded file .the download manager is a system service that handles long running http downloads  clients may request that a uri be downloaded to a particular destination file  the download manager will conduct the download in the background, taking care of http interactions and retrying downloads after failures or across connectivity changes and system reboots",source,DownloadManager,no category,files,file information,0.2735767960548401,files,files
361,SSLSocket_getSSLParameters,"get ssl parameters .this class extends sockets and provides secure socket using protocols such as the "" secure sockets layer""  or ietf "" transport layer security""  protocols",source,SSLSocket,network information,network information,network information,0.20412835478782654,network,network
366,URLConnection_getConnectTimeout,"get connect timeout .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.15910573303699493,network,network
368,SQLiteDatabase_openOrCreateDatabase,open or create database .exposes methods to manage a s q lite database,sink,SQLiteDatabase,no category,database,database information,0.4551362097263336,database,database
369,ServerSocket_setSoTimeout,"set so timeout .this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",sink,ServerSocket,no category,network connection,network connection,0.4497429430484772,network,network
374,SQLiteDatabase_query,query .exposes methods to manage a s q lite database,source,SQLiteDatabase,database,database,database information,0.5000657439231873,database,database
377,Calendar_getActualMaximum,"get actual maximum . icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information,calendar information,calendar information,0.5136588215827942,calendar,calendar
382,AudioTrack_setAuxEffectSendLevel,"set aux effect send level .the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",sink,AudioTrack,audio,audio,audio information,0.4787626266479492,audio,audio
383,Log_v,v .api for sending log output,sink,Log,log,log,logging,0.31828635931015015,log,log
386,Calendar_getDisplayName,"get display name . icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information,calendar information,calendar information,0.4351867437362671,calendar,calendar
387,GregorianCalendar_getActualMaximum,"get actual maximum . icu's replacement for gregorian calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,GregorianCalendar,calendar information,calendar information,calendar information,0.5319141149520874,calendar,calendar
396,Binder_dump,"dump .base class for a remotable object, the core part of a lightweight remote procedure call mechanism defined by i binder  this class is an implementation of i binder that provides standard local implementation of such an object",sink,Binder,files,files,media,0.19017091393470764,files,media
397,Calendar_getMinimalDaysInFirstWeek,"get minimal days in first week . icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information,calendar information,calendar information,0.4448871910572052,calendar,calendar
398,WallpaperManager_setResource,"set resource .provides access to the system wallpaper  with wallpaper manager, you can get the current wallpaper, get the desired dimensions for the wallpaper, set the wallpaper, and more",sink,WallpaperManager,log,media,media,0.2166111022233963,media,media
403,SSLContext_getDefault,get default .instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,source,SSLContext,network information,network information,network information,0.22650715708732605,network,network
