ind,key,docs,class,classification,category_map,real_cat,label,scores,real_final,pred_final
60,CalendarView_getMinDate," gets the minimal date supported by this calendar view in milliseconds  since january 1, 1970 00:00:00 in time zone get default time  zone .  this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable",CalendarView,source,calendar information,calendar information,calendar information,0.7502554655075073,calendar,calendar
65,SSLParameters_getCipherSuites," returns a copy of the array of ciphersuites or null if none  have been set .  encapsulates parameters for an ssl/ tls connection  the parameters are the list of ciphersuites to be accepted in an ssl/ tls handshake, the list of protocols to be allowed, the endpoint identification algorithm during ssl/ tls handshaking, the server name indication , the algorithm constraints and whether ssl/ tls servers should request or require client authentication, etc",SSLParameters,source,network information,network connection,network information,0.25677481293678284,network,network
69,ServerSocket_setPerformancePreferences," sets performance preferences for this server socket .  this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",ServerSocket,sink,no category,network connection,network connection,0.2839127480983734,network,network
72,WifiP2pManager_removeGroup," remove the current p2p group .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",WifiP2pManager,sink,network connection,network connection,network connection,0.42110931873321533,network,network
74,AccessibilityService_performGlobalAction," performs a global action .  accessibility services should only be used to assist users with disabilities in using android devices and apps  they run in the background and receive callbacks by the system when accessibility events are fired  such events denote some state transition in the user interface, for example, the focus has changed, a button has been clicked, etc  such a service can optionally request the capability for querying the content of the active window  development of an accessibility service requires extending this class and implementing its abstract methods",AccessibilityService,sink,log,system settings,media,0.14672620594501495,system settings,media
78,DatagramSocket_getRemoteSocketAddress," returns the address of the endpoint this socket is connected to, or  null if it is unconnected .  this class represents a socket for sending and receiving datagram packets",DatagramSocket,source,no category,network connection,network information,0.3558110296726227,network,network
80,AccountManager_getPassword," gets the saved password associated with the account .  this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",AccountManager,source,user account,user account,user information,0.41956284642219543,user account,user account
83,LocationManager_addNmeaListener," adds an nmea listener .  this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",LocationManager,sink,geolocation,geolocation,geographical location,0.281846284866333,geolocation,geolocation
90,SmsManager_divideMessage," divide a message text into several fragments, none bigger than the maximum sms message size .  manages sms operations such as sending data, text, and pdu sms messages  get this object by calling the static method get default  to create an instance of sms manager associated with a specific subscription i d, call get sms manager for subscription id  this is typically used for devices that support multiple active subscriptions at once",SmsManager,source,network information,text message,text message,0.2988148033618927,text message,text message
95,BluetoothHeadset_startVoiceRecognition, start bluetooth voice recognition .  public api for controlling the bluetooth headset service  this includes both bluetooth headset and handsfree  profiles,BluetoothHeadset,sink,bluetooth,bluetooth,bluetooth,0.3759574294090271,bluetooth,bluetooth
102,NfcA_setTimeout, set the transceive timeout in milliseconds .  provides access to nfc a  properties and i/ o operations on a tag,NfcA,sink,nfc communication,nfc communication,nfc information,0.29845917224884033,nfc,nfc
107,ServerSocket_getLocalPort," returns the port number on which this socket is listening .  this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",ServerSocket,source,no category,network connection,network connection,0.326259046792984,network,network
115,MediaMetadataRetriever_getFrameAtTime, call this method after set data source .  media metadata retriever class provides a unified interface for retrieving frame and meta data from an input media file,MediaMetadataRetriever,source,no category,media,media information,0.2799430191516876,media,media
117,AttributesImpl_getURI, return an attribute's namespace uri .  default implementation of the attributes interface,AttributesImpl,source,files,files,nfc communication,0.14320877194404602,files,nfc
120,DatagramSocket_bind, binds this datagram socket to a specific address and port .  this class represents a socket for sending and receiving datagram packets,DatagramSocket,sink,no category,network connection,network information,0.3176838457584381,network,network
121,AccountManager_getAuthenticatorTypes," lists the currently registered authenticators .  this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",AccountManager,source,user account,user account,user account,0.12309008091688156,user account,user account
122,Calendar_clone," overrides cloneabl . icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",Calendar,source,calendar information,calendar information,calendar information,0.6057031750679016,calendar,calendar
125,SQLiteCursor_getColumnNames, returns a string array holding the names of all of the columns in the  result set in the order in which they were listed in the result .  a cursor implementation that exposes results from a query on a s q lite database  s q lite cursor is not internally synchronized so code using a s q lite cursor from multiple threads should perform its own synchronization when using the s q lite cursor,SQLiteCursor,source,database,database,database information,0.4740912914276123,database,database
126,LocationManager_getAllProviders," returns a list of the names of all available location providers .  this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",LocationManager,source,geolocation,geolocation,geographical location,0.2723351716995239,geolocation,geolocation
129,LocationManager_isProviderEnabled," returns the current enabled/disabled status of the given provider .  this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",LocationManager,source,geolocation,geolocation,geographical location,0.30508601665496826,geolocation,geolocation
131,Virtualizer_setStrength," sets the strength of the virtualizer effect .  an audio virtualizer is a general name for an effect to spatialize audio channels  the exact behavior of this effect is dependent on the number of audio input channels and the types and number of audio output channels of the device  for example, in the case of a stereo input and stereo headphone output, a stereo widening effect is used when this effect is turned on",Virtualizer,sink,audio,audio,audio information,0.33086907863616943,audio,audio
136,URLConnection_getHeaderFields," returns an unmodifiable map of the header fields .  the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",URLConnection,source,no category,network connection,network connection,0.19475331902503967,network,network
142,ClassLoader_getSystemClassLoader," returns the system class loader for delegation .  a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",ClassLoader,source,network information,system settings,file information,0.42846590280532837,system settings,files
147,AudioTrack_getNotificationMarkerPosition," returns marker position expressed in frames .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",AudioTrack,source,no category,audio,audio information,0.47403857111930847,audio,audio
149,Binder_dumpAsync," like dump, but ensures the target  executes asynchronously .  base class for a remotable object, the core part of a lightweight remote procedure call mechanism defined by i binder  this class is an implementation of i binder that provides standard local implementation of such an object",Binder,sink,files,files,media,0.13080546259880066,files,media
153,Log_d, send a debug log message and log the exception .  api for sending log output,Log,sink,log,log,logging,0.6273537874221802,log,log
154,LocationManager_setTestProviderLocation," sets a new location for the given test provider .  this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",LocationManager,sink,geolocation,geolocation,geographical location,0.2551718056201935,geolocation,geolocation
157,DatagramSocket_getSendBufferSize," get value of the send buffer option for this datagram socket, that is the  buffer size used by the platform for output on this datagram socket .  this class represents a socket for sending and receiving datagram packets",DatagramSocket,source,no category,network connection,network information,0.13381175696849823,network,network
158,TrafficStats_getMobileTxBytes," return number of bytes transmitted across mobile networks since device  boot .  class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",TrafficStats,source,network information,network connection,network information,0.4963121712207794,network,network
160,CalendarView_setMaxDate," sets the maximal date supported by this calendar view in milliseconds  since january 1, 1970 00:00:00 in time zone get default time  zone .  this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable",CalendarView,sink,no category,calendar information,calendar information,0.7523388862609863,calendar,calendar
163,WallpaperManager_setStream," change the current system wallpaper to a specific byte stream .  provides access to the system wallpaper  with wallpaper manager, you can get the current wallpaper, get the desired dimensions for the wallpaper, set the wallpaper, and more",WallpaperManager,sink,log,media,media,0.18703588843345642,media,media
171,WifiP2pManager_requestPeers," request the current list of peers .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",WifiP2pManager,sink,network connection,network connection,network connection,0.4421357810497284,network,network
175,Calendar_getActualMinimum," returns the minimum value that this field could have, given the current date . icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",Calendar,source,calendar information,calendar information,calendar information,0.67082279920578,calendar,calendar
177,PresetReverb_setPreset," enables a preset on the reverb .  a sound generated within a room travels in many directions  the listener first hears the direct sound from the source itself  later, he or she hears discrete echoes caused by sound bouncing off nearby walls, the ceiling and the floor  as sound waves arrive after undergoing more and more reflections, individual reflections become indistinguishable and the listener hears continuous reverberation that decays over time  reverb is vital for modeling a listener's environment  it can be used in music applications to simulate music being played back in various environments, or in games to immerse the listener within the game's environment  the preset reverb class allows an application to configure the global reverb using a reverb preset  this is primarily used for adding some reverb in a music playback context  applications requiring control over a more advanced environmental reverb are advised to use the environmental reverb class",PresetReverb,sink,audio,audio,audio information,0.3202185332775116,audio,audio
181,AccountManager_addOnAccountsUpdatedListener," adds an on accounts update listener to this instance of the account manager .  this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",AccountManager,sink,user account,user account,user information,0.347221702337265,user account,user account
183,Calendar_getTime," returns this calendar's current time . icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",Calendar,source,calendar information,calendar information,calendar information,0.7892919182777405,calendar,calendar
186,WifiP2pManager_createGroup," create a p2p group with the current device as the group owner .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",WifiP2pManager,sink,network connection,network connection,network connection,0.475626677274704,network,network
188,SQLiteDatabase_getAttachedDbs, returns list of full pathnames of all attached databases including the main database  by executing 'pragma database_list' on the database .  exposes methods to manage a s q lite database,SQLiteDatabase,source,database,database,database information,0.5708382725715637,database,database
189,SmsManager_sendMultipartTextMessage," send a multi-part text based sms .  manages sms operations such as sending data, text, and pdu sms messages  get this object by calling the static method get default  to create an instance of sms manager associated with a specific subscription i d, call get sms manager for subscription id  this is typically used for devices that support multiple active subscriptions at once",SmsManager,sink,text message,system settings,text message,0.3442947268486023,system settings,text message
191,HttpURLConnection_getRequestMethod, get the request method .  a url connection with support for http specific features  see  the spec  for details,HttpURLConnection,source,no category,network connection,network information,0.26449912786483765,network,network
192,DatagramSocket_getTrafficClass, gets traffic class or type-of-service in the ip datagram  header for packets sent from this datagram socket .  this class represents a socket for sending and receiving datagram packets,DatagramSocket,source,no category,network connection,network information,0.36173132061958313,network,network
193,IsoDep_getHistoricalBytes, return the iso- dep historical bytes for nfc a tags .  provides access to iso dep  properties and i/ o operations on a tag,IsoDep,source,nfc information,nfc information,nfc information,0.4330412447452545,nfc,nfc
200,AudioTrack_setPositionNotificationPeriod," sets the period for the periodic notification event .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",AudioTrack,sink,audio,audio,audio information,0.47418510913848877,audio,audio
201,AudioManager_setParameters, sets a variable number of parameter values to audio hardware .  audio manager provides access to volume and ringer mode control,AudioManager,sink,audio,audio,audio information,0.3809915781021118,audio,audio
206,ClassLoader_getResources," finds all the resources with the given name .  a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",ClassLoader,source,network information,system settings,file information,0.5109304785728455,system settings,files
209,AccountManager_peekAuthToken," gets an auth token from the account manager's cache .  this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",AccountManager,source,user account,user account,user information,0.33219513297080994,user account,user account
212,DownloadManager_query," query the download manager about downloads that have been requested .  the download manager is a system service that handles long running http downloads  clients may request that a uri be downloaded to a particular destination file  the download manager will conduct the download in the background, taking care of http interactions and retrying downloads after failures or across connectivity changes and system reboots",DownloadManager,source,no category,files,logging,0.17943382263183594,files,log
213,BackupAgent_onRestoreFile," handle the data delivered via the given file descriptor during a full restore  operation .  provides the central interface between an application and android's data backup infrastructure   an application that wishes to participate in the backup and restore mechanism will declare a subclass of backup agent, implement the on backup and on restore methods, and provide the name of its backup agent class in its android manifest xml file via the <application> tag's android:backup agent attribute",BackupAgent,sink,files,files,file information,0.282116562128067,files,files
215,Log_println, low-level logging call .  api for sending log output,Log,sink,log,log,logging,0.618968665599823,log,log
216,AudioManager_setStreamVolume, sets the volume index for a particular stream .  audio manager provides access to volume and ringer mode control,AudioManager,sink,audio,audio,audio information,0.4713270366191864,audio,audio
217,Calendar_setTime," sets this calendar's current time with the given date . icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",Calendar,sink,no category,calendar,calendar information,0.8004832863807678,calendar,calendar
218,ClassLoader_getSystemResource," find a resource of the specified name from the search path used to load  classes .  a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",ClassLoader,source,network information,system settings,file information,0.4006522595882416,system settings,files
220,NfcF_getManufacturer, return the manufacturer bytes from tag discovery .  provides access to nfc f  properties and i/ o operations on a tag,NfcF,source,nfc information,nfc information,nfc information,0.48216453194618225,nfc,nfc
226,SQLiteDatabase_rawQueryWithFactory, runs the provided sql and returns a cursor over the result set .  exposes methods to manage a s q lite database,SQLiteDatabase,source,database,database,database information,0.4624142050743103,database,database
228,AccountManager_removeAccount," removes an account from the account manager .  this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",AccountManager,source,user account,user account,user information,0.3474222421646118,user account,user account
236,WifiP2pManager_requestConnectionInfo," request device connection info .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",WifiP2pManager,sink,network connection,network connection,network connection,0.3256295621395111,network,network
238,ClassLoader_getParent," returns the parent class loader for delegation .  a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",ClassLoader,source,network information,system settings,file information,0.48218926787376404,system settings,files
240,UiModeManager_enableCarMode," force device into car mode, like it had been placed in the car dock .  this class provides access to the system uimode services   these services allow applications to control ui modes of the device  it provides functionality to disable the car mode and it gives access to the night mode settings",UiModeManager,sink,log,system settings,system settings,0.42513754963874817,system settings,system settings
242,DownloadManager_getUriForDownloadedFile," returns the uri of the given downloaded file id, if the file is  downloaded successfully .  the download manager is a system service that handles long running http downloads  clients may request that a uri be downloaded to a particular destination file  the download manager will conduct the download in the background, taking care of http interactions and retrying downloads after failures or across connectivity changes and system reboots",DownloadManager,source,files,files,file information,0.35182029008865356,files,files
245,WifiP2pManager_discoverPeers," initiate peer discovery .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",WifiP2pManager,sink,network connection,network connection,network connection,0.44261521100997925,network,network
247,SSLContext_getServerSessionContext," returns the server session context, which represents the set of  ssl sessions available for use during the handshake phase of  server-side ssl sockets .  instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes",SSLContext,source,network information,network information,network information,0.1252375841140747,network,network
248,GregorianCalendar_getActualMinimum," return the minimum value that this field could have, given the current date . icu's replacement for gregorian calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",GregorianCalendar,source,calendar information,calendar information,calendar information,0.680679440498352,calendar,calendar
250,NsdManager_resolveService," resolve a discovered service .  the network service discovery manager class provides the api to discover services on a network  as an example, if device a and device b are connected over a wi fi network, a game registered on device a can be discovered by a game on device b  another example use case is an application discovering printers on the network",NsdManager,sink,network connection,network connection,network information,0.3536064326763153,network,network
251,DatagramSocket_setReceiveBufferSize, sets the so_rcvbuf option to the specified value for this  datagram socket .  this class represents a socket for sending and receiving datagram packets,DatagramSocket,sink,no category,network connection,network information,0.30809345841407776,network,network
255,AudioTrack_getChannelConfiguration," returns the configured channel position mask .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",AudioTrack,source,no category,audio,audio information,0.5257667899131775,audio,audio
256,NsdManager_registerService," register a service to be discovered by other services .  the network service discovery manager class provides the api to discover services on a network  as an example, if device a and device b are connected over a wi fi network, a game registered on device a can be discovered by a game on device b  another example use case is an application discovering printers on the network",NsdManager,sink,network connection,network connection,network information,0.30783578753471375,network,network
258,NfcF_getMaxTransceiveLength, return the maximum number of bytes that can be sent with transceive .  provides access to nfc f  properties and i/ o operations on a tag,NfcF,source,nfc information,nfc information,nfc information,0.3019718527793884,nfc,nfc
265,LogPrinter_println, write a line of text to the output .  implementation of a printer that sends its output to the system log,LogPrinter,sink,log,log,text message,0.24645477533340454,log,text message
270,SQLiteDatabase_setMaximumSize, sets the maximum size the database will grow to .  exposes methods to manage a s q lite database,SQLiteDatabase,sink,no category,database,database information,0.36443132162094116,database,database
288,AccountManager_getAuthToken," gets an auth token of the specified type for a particular account,  optionally raising a notification if the user must enter credentials .  this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",AccountManager,source,user account,user account,user information,0.34248003363609314,user account,user account
292,ScanResult_writeToParcel, flatten this object in to a parcel .  scan result for bluetooth le scan,ScanResult,sink,network connection,bluetooth,bluetooth,0.535740315914154,bluetooth,bluetooth
294,SQLiteProgram_bindLong, bind a long value to this statement .  a base class for compiled s q lite programs,SQLiteProgram,sink,no category,database,media,0.145608589053154,database,media
295,SSLContext_getSocketFactory, returns a socket factory object for this  context .  instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,SSLContext,source,network information,network connection,network information,0.1443537026643753,network,network
302,SQLiteDatabase_getVersion, gets the database version .  exposes methods to manage a s q lite database,SQLiteDatabase,source,database,database,database information,0.5364331603050232,database,database
303,SSLParameters_getProtocols," returns a copy of the array of protocols or null if none  have been set .  encapsulates parameters for an ssl/ tls connection  the parameters are the list of ciphersuites to be accepted in an ssl/ tls handshake, the list of protocols to be allowed, the endpoint identification algorithm during ssl/ tls handshaking, the server name indication , the algorithm constraints and whether ssl/ tls servers should request or require client authentication, etc",SSLParameters,source,network information,network connection,network information,0.27090153098106384,network,network
304,SSLEngine_getPeerPort," returns the port number of the peer .  a class which enables secure communications using protocols such as the secure sockets layer  or  ietf rfc 2246 "" transport layer security""   protocols, but is transport independent",SSLEngine,source,network information,network connection,network information,0.2926386594772339,network,network
308,AudioManager_setMode, sets the audio mode .  audio manager provides access to volume and ringer mode control,AudioManager,sink,audio,audio,audio information,0.3830163776874542,audio,audio
311,SSLContext_getProtocol, returns the protocol name of this ssl context object .  instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,SSLContext,source,network information,network connection,network information,0.18206165730953217,network,network
323,DatagramSocket_setBroadcast, enable/disable so_broadcast .  this class represents a socket for sending and receiving datagram packets,DatagramSocket,sink,no category,network connection,network connection,0.362052321434021,network,network
329,AccountManager_newChooseAccountIntent," returns an intent to an activity that prompts the user to choose from a list of  accounts .  this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",AccountManager,sink,user account,user account,user information,0.24786266684532166,user account,user account
330,CalendarView_getDateTextAppearance, gets the text appearance for the calendar dates .  this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable,CalendarView,source,calendar information,calendar information,calendar information,0.8130028247833252,calendar,calendar
335,WebSettings_getJavaScriptEnabled," gets whether java script is enabled .  manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",WebSettings,source,system settings,system settings,media,0.17214590311050415,system settings,media
337,WifiP2pManager_stopPeerDiscovery," stop an ongoing peer discovery  the function call immediately returns after sending a stop request  to the framework .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",WifiP2pManager,sink,network connection,network connection,network connection,0.43129873275756836,network,network
338,RandomAccessFile_setLength," sets the length of this file .  instances of this class support both reading and writing to a random access file  a random access file behaves like a large array of bytes stored in the file system  there is a kind of cursor, or index into the implied array, called the file pointer; input operations read bytes starting at the file pointer and advance the file pointer past the bytes read  if the random access file is created in read/write mode, then output operations are also available; output operations write bytes starting at the file pointer and advance the file pointer past the bytes written  output operations that write past the current end of the implied array cause the array to be extended  the file pointer can be read by the get file pointer method and set by the seek method",RandomAccessFile,sink,files,files,file information,0.2400560975074768,files,files
340,DatagramSocket_getLocalAddress, gets the local address to which the socket is bound .  this class represents a socket for sending and receiving datagram packets,DatagramSocket,source,no category,network connection,network information,0.36598095297813416,network,network
341,AccountManager_setPassword," sets or forgets a saved password .  this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",AccountManager,sink,user account,user account,user information,0.4056045413017273,user account,user account
342,AudioTrack_setPlaybackRate," sets the playback sample rate for this track .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",AudioTrack,sink,audio,audio,audio information,0.514200747013092,audio,audio
349,AccountManager_blockingGetAuthToken," this convenience helper synchronously gets an auth token with  get auth token .  this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",AccountManager,source,user account,user account,user information,0.41236552596092224,user account,user account
350,SQLiteProgram_bindString, bind a string value to this statement .  a base class for compiled s q lite programs,SQLiteProgram,sink,no category,database,media,0.1700087934732437,database,media
354,AccountManager_getAccounts," lists all accounts visible to the caller regardless of type .  this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",AccountManager,source,user account,user account,user information,0.37419429421424866,user account,user account
355,SSLContext_getServerSocketFactory, returns a server socket factory object for  this context .  instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,SSLContext,source,network information,network information,network information,0.169320747256279,network,network
360,DownloadManager_getMimeTypeForDownloadedFile," returns the media type of the given downloaded file id, if the file was  downloaded successfully .  the download manager is a system service that handles long running http downloads  clients may request that a uri be downloaded to a particular destination file  the download manager will conduct the download in the background, taking care of http interactions and retrying downloads after failures or across connectivity changes and system reboots",DownloadManager,source,no category,files,media information,0.25245538353919983,files,media
