keys,docs,classification
MtpObjectInfo_getThumbCompressedSize,get thumb compressed size  returns the size of the mtp object's thumbnail  will be zero for objects with no thumbnail,source
DateFormat_getDateInstance,get date instance  returns the date formatter with the given formatting style  for the given locale.,source
X509Certificate_getIssuerAlternativeNames,"get issuer alternative names  gets an immutable collection of issuer alternative names from the  issueraltname extension, .",source
Toast_getYOffset,get y offset  return the y offset in pixels to apply to the gravity's location.,source
TypedArray_getResourceId,get resource id  retrieves the resource identifier for the attribute at  index.,source
LogRecord_getLoggerName,get logger name  get the source logger's name.,source
AutoCompleteTextView_getDropDownAnchor,get drop down anchor  returns the id for the view that the auto-complete drop down list is anchored to.,source
BreakIterator_getAvailableLocales,get available locales  returns a list of locales for which breakiterators can be used.,source
AlgorithmParameters_getParameterSpec,get parameter spec  returns a  specification of this parameter object.,source
DecimalFormatSymbols_getInternationalCurrencySymbol,get international currency symbol  returns the international string denoting the local currency.,source
RandomAccessFile_getChannel,get channel  returns the unique filechannel  object associated with this file.,source
ListActivity_getSelectedItemPosition,get selected item position  get the position of the currently selected list item.,source
WebSettings_getUseWideViewPort,"get use wide view port  gets whether the webview supports the ""viewport""  html meta tag or will use a wide viewport.",source
MtpDevice_getObjectInfo,get object info  retrieves the mtpobjectinfo for an object.,source
Resources_getDrawableForDensity,get drawable for density  return a drawable object associated with a particular resource id for the  given screen density in dpi and styled for the specified theme.,source
DrmManagerClient_getDrmObjectType,get drm object type  retrieves the type of rights-protected object  using the specified uri or mime type.,source
Resources_getDrawableForDensity,get drawable for density  return a drawable object associated with a particular resource id for the  given screen density in dpi and styled for the specified theme.,source
WallpaperManager_getDrawable,"get drawable  retrieve the current system wallpaper; if  no wallpaper is set, the system built-in static wallpaper is returned.",source
CursorWrapper_getWantsAllOnMoveCalls,get wants all on move calls  onmove will only be called across processes if this method returns true.,source
NfcF_getTag,get tag  get the tag object backing this tagtechnology object.,source
PropertyChangeEvent_getPropagationId,"get propagation id  the ""propagationid"" field is reserved for future use.",source
SSLSessionBindingEvent_getName,"get name  returns the name to which the object is being bound, or the name  from which the object is being unbound.",source
Socket_getSendBufferSize,"get send buffer size  get value of the so_sndbuf option  for this socket, that is the buffer size used by the platform  for output on this socket.",source
CookieManager_getInstance,get instance  gets the singleton cookiemanager instance.,source
InputSource_getPublicId,get public id  get the public identifier for this input source.,source
Display_getDisplayId,get display id  gets the display id.,source
LocatorImpl_getColumnNumber,get column number  return the saved column number .,source
ShapeDrawable_getIntrinsicHeight,get intrinsic height  returns the drawable's intrinsic height.,source
Semaphore_getQueueLength,get queue length  returns an estimate of the number of threads waiting to acquire.,source
FieldPosition_getFieldAttribute,get field attribute  returns the field identifier as an attribute constant  from one of the field subclasses.,source
CharBuffer_array,array  returns the char array that backs this  buffer .,source
Signature_getProvider,get provider  returns the provider of this signature object.,source
JSONArray_getJSONObject,get json object  returns the value at index if it exists and is a jsonobject.,source
NumberFormat_parse,parse  parses text from the beginning of the given string to produce a number.,source
SslError_getPrimaryError,get primary error  gets the most severe ssl error in this object's set of errors.,source
AtomicLong_getAndSet,"get and set  atomically sets the value to newvalue and returns the old value,  with memory effects as specified by varhandle#getandset.",source
ScheduledThreadPoolExecutor_shutdownNow,"shutdown now  attempts to stop all actively executing tasks, halts the  processing of waiting tasks, and returns a list of the tasks  that were awaiting execution.",source
FileLock_channel,channel  returns the file channel upon whose file this lock was acquired.,source
ServerSocket_getInetAddress,get inet address  returns the local address of this server socket.,source
MtpDevice_getObject,get object  returns the data for an object as a byte array.,source
AbstractWindowedCursor_getDouble,get double  returns the value of the requested column as a double.,source
RSAPublicKeySpec_getModulus,get modulus  returns the modulus.,source
LockSupport_getBlocker,"get blocker  returns the blocker object supplied to the most recent  invocation of a park method that has not yet unblocked, or null  if not blocked.",source
MatrixCursor_getType,get type  returns data type of the given column's value.,source
Preference_getOrder,get order  gets the order of this preference with respect to other preference objects on the same level.,source
NetworkInterface_getByName,get by name  searches for the network interface with the specified name.,source
BroadcastReceiver_getResultExtras,"get result extras  retrieve the current result extra data, as set by the previous receiver.",source
ScaleGestureDetector_getCurrentSpanX,get current span x  return the average x distance between each of the pointers forming the  gesture in progress through the focal point.,source
Timestamp_getTimestamp,get timestamp  returns the date and time when the timestamp was generated.,source
RandomAccessFile_getFD,get f d  returns the opaque file descriptor object associated with this  stream.,source
MessageDigest_digest,digest  completes the hash computation by performing final operations  such as padding.,source
TextureView_getBitmap,get bitmap  returns a bitmap representation of the content  of the associated surface texture.,source
MimeTypeMap_getExtensionFromMimeType,get extension from mime type  return the registered extension for the given mime type.,source
AudioRecord_getAudioSource,get audio source  returns the audio recording source.,source
WallpaperManager_getInstance,get instance  retrieve a wallpapermanager associated with the given context.,source
EditTextPreference_getText,get text  gets the text from the sharedpreferences.,source
Equalizer_getProperties,get properties  gets the equalizer properties.,source
AlgorithmParameters_getEncoded,get encoded  returns the parameters encoded in the specified scheme.,source
IllegalFormatConversionException_getArgumentClass,get argument class  returns the class of the mismatched argument.,source
NfcA_getMaxTransceiveLength,get max transceive length  return the maximum number of bytes that can be sent with transceive.,source
LocationManager_getBestProvider,get best provider  returns the name of the provider that best meets the given criteria.,source
AudioStream_getCodec,"get codec  returns the audiocodec, or null if it is not set.",source
ContextThemeWrapper_getResources,get resources  returns a resources instance for the application's package.,source
ParsePosition_getIndex,get index  retrieve the current parse position.,source
CellLocation_getEmpty,"get empty  return a new celllocation object representing an unknown  location, or null for unknown/none phone radio types.",source
URL_getProtocol,get protocol  gets the protocol name of this url.,source
ExifInterface_getAttributeInt,get attribute int  returns the integer value of the specified tag.,source
MtpStorageInfo_getDescription,get description  returns the description string for the storage unit.,source
EllipticCurve_getField,get field  returns the finite field field that this  elliptic curve is over.,source
URLConnection_getContentLength,get content length  returns the value of the content-length header field.,source
StaticLayout_getLineCount,get line count  return the number of lines of text in this layout.,source
AccountManager_get,get  gets an accountmanager instance associated with a context.,source
WebViewFragment_getWebView,get web view  gets the webview.,source
Thread_getState,get state  returns the state of this thread.,source
SAXParseException_getPublicId,get public id  get the public identifier of the entity where the exception occurred.,source
SSLParameters_getNeedClientAuth,get need client auth  returns whether client authentication should be required.,source
Handler_getErrorManager,get error manager  retrieves the errormanager for this handler.,source
ListFragment_getListView,get list view  get the fragment's list view widget.,source
ReentrantReadWriteLock_getReadLockCount,get read lock count  queries the number of read locks held for this lock.,source
MatrixCursor_getShort,get short  returns the value of the requested column as a short.,source
EasyEditSpan_getSpanTypeId,get span type id  return a special type identifier for this span class.,source
AbstractCursor_getColumnName,get column name  returns the column name at the given zero-based column index.,source
AbstractQueuedSynchronizer_getSharedQueuedThreads,get shared queued threads  returns a collection containing threads that may be waiting to  acquire in shared mode.,source
Method_getTypeParameters,"get type parameters  returns an array of typevariable objects that represent the  type variables declared by the generic declaration represented by this  genericdeclaration object, in declaration order.",source
BroadcastReceiver_getResultData,"get result data  retrieve the current result data, as set by the previous receiver.",source
DatagramSocket_getSoTimeout,get so timeout  retrieve setting for so_timeout.,source
StorageManager_getMountedObbPath,get mounted obb path  check the mounted path of an opaque binary blob  file.,source
AccountManager_removeAccount,remove account  removes an account from the accountmanager.,source
UsbDeviceConnection_getRawDescriptors,get raw descriptors  returns the raw usb descriptors for the device.,source
StaticLayout_getTopPadding,get top padding  returns the  number of extra pixels of ascent padding in the  top line of the layout.,source
ServerSocket_getSoTimeout,get so timeout  retrieve setting for so_timeout.,source
KeyFactory_getInstance,get instance  returns a keyfactory object that converts  public/private keys of the specified algorithm.,source
LayoutAnimationController_getDelay,get delay  returns the delay by which the children's animation are offset.,source
Type_getCount,get count  return the total number of accessable cells in the type.,source
MtpDevice_getThumbnail,get thumbnail  returns the thumbnail data for an object as a byte array.,source
BluetoothAdapter_getProfileProxy,get profile proxy  get the profile proxy object associated with the profile.,source
Socket_getSoLinger,get so linger  returns setting for so_linger.,source
RootElement_getContentHandler,get content handler  gets the sax contenthandler.,source
ServerSocket_getReceiveBufferSize,"get receive buffer size  gets the value of the so_rcvbuf option  for this serversocket, that is the proposed buffer size that  will be used for sockets accepted from this serversocket.",source
Calendar_getDisplayName,get display name  returns the name of this calendar in the language of the given locale.,source
TypedArray_getDimensionPixelSize,get dimension pixel size  retrieve a dimensional unit attribute at index for use  as a size in raw pixels.,source
MifareUltralight_readPages,read pages  read 4 pages .,source
Binder_getCallingUserHandle,get calling user handle  return the userhandle assigned to the process that sent you the  current transaction that is being processed.,source
SQLiteOpenHelper_getWritableDatabase,get writable database  create and/or open a database that will be used for reading and writing.,source
Socket_getChannel,"get channel  returns the unique socketchannel  object associated with this socket, if any.",source
ResourceBundle_getStringArray,get string array  gets a string array for the given key from this resource bundle or one of its parents.,source
GregorianCalendar_getGregorianChange,get gregorian change  gets the gregorian calendar change date.,source
SynthesisRequest_getSpeechRate,get speech rate  gets the speech rate to use.,source
ScaleGestureDetector_getFocusY,get focus y  get the y coordinate of the current gesture's focal point.,source
FileOutputStream_getFD,get f d  returns the file descriptor associated with this stream.,source
SQLiteDatabase_getPageSize,"get page size  returns the current database page size, in bytes.",source
FormatFlagsConversionMismatchException_getMessage,get message  returns the detail message string of this throwable.,source
LogRecord_getThrown,get thrown  get any throwable associated with the log record.,source
WebResourceResponse_getData,get data  gets the input stream that provides the resource response's data.,source
Mac_doFinal,do final  processes the given array of bytes and finishes the mac operation.,source
KeyFactory_getKeySpec,get key spec  returns a specification  of the given key object.,source
ObjectAnimator_getPropertyName,get property name  gets the name of the property that will be animated.,source
Throwable_getSuppressed,"get suppressed  returns an array containing all of the exceptions that were  suppressed, typically by the try-with-resources  statement, in order to deliver this exception.",source
IsoDep_transceive,transceive  send raw iso-dep data to the tag and receive the response.,source
WallpaperManager_getDesiredMinimumHeight,get desired minimum height  returns the desired minimum height for the wallpaper.,source
URI_getFragment,get fragment  returns the decoded fragment component of this uri.,source
LayoutAnimationController_getInterpolator,get interpolator  returns the interpolator used to interpolate the delays between the  children.,source
Socket_getReceiveBufferSize,"get receive buffer size  gets the value of the so_rcvbuf option  for this socket, that is the buffer size used by the platform  for input on this socket.",source
SensorManager_getRotationMatrixFromVector,get rotation matrix from vector  helper function to convert a rotation vector to a rotation matrix.,source
EllipticCurve_getSeed,get seed  returns the seeding bytes seed used  during curve generation.,source
SSLContext_getInstance,get instance  returns a sslcontext object that implements the  specified secure socket protocol.,source
MergeCursor_getFloat,get float  returns the value of the requested column as a float.,source
BroadcastReceiver_getResultCode,"get result code  retrieve the current result code, as set by the previous receiver.",source
DynamicDrawableSpan_getVerticalAlignment,"get vertical alignment  returns the vertical alignment of this span, one of align_bottom,  align_baseline or align_center.",source
AbstractCursor_getExtras,get extras  returns a bundle of extra values.,source
Provider_getName,get name  returns the name of this provider.,source
DateFormatSymbols_getLocalPatternChars,get local pattern chars  returns localized date-time pattern characters.,source
HandlerThread_getLooper,get looper  this method returns the looper associated with this thread.,source
StringWriter_getBuffer,get buffer  return the string buffer itself.,source
URLConnection_getConnectTimeout,get connect timeout  returns setting for connect timeout.,source
AccountManager_get,get  gets an accountmanager instance associated with a context.,source
WebResourceResponse_getEncoding,get encoding  gets the resource response's encoding.,source
Writer_append,append  appends the specified character to this writer.,source
BackupDataInputStream_getKey,get key  report the key string associated with this entity within the backup data set.,source
AbstractQueuedSynchronizer_getQueueLength,get queue length  returns an estimate of the number of threads waiting to  acquire.,source
SensorManager_getRotationMatrixFromVector,get rotation matrix from vector  helper function to convert a rotation vector to a rotation matrix.,source
Equalizer_getCenterFreq,get center freq  gets the center frequency of the given band.,source
DownloadManager_getUriForDownloadedFile,"get uri for downloaded file  returns the uri of the given downloaded file id, if the file is  downloaded successfully.",source
StaticLayout_getLineDirections,get line directions  returns the directional run information for the specified line.,source
CertPathValidator_getInstance,get instance  returns a certpathvalidator object that implements the  specified algorithm.,source
ClassLoader_getParent,get parent  returns the parent class loader for delegation.,source
URLConnection_getHeaderFields,get header fields  returns an unmodifiable map of the header fields.,source
LocationProvider_getName,get name  returns the name of this provider.,source
AlgorithmParameters_getAlgorithm,get algorithm  returns the name of the algorithm associated with this parameter object.,source
Animation_getDuration,get duration  how long this animation should last,source
Deflater_getTotalOut,get total out  returns the total number of compressed bytes output so far.,source
IllegalFormatPrecisionException_getPrecision,get precision  returns the precision,source
CookieSyncManager_createInstance,create instance  create a singleton cookiesyncmanager within a context,source
ViewAnimator_getDisplayedChild,get displayed child  returns the index of the currently displayed child view.,source
URLConnection_getDefaultAllowUserInteraction,get default allow user interaction  returns the default value of the allowuserinteraction  field.,source
PreferenceGroup_getPreferenceCount,get preference count  returns the number of children preferences.,source
DatagramSocket_getLocalAddress,get local address  gets the local address to which the socket is bound.,source
DatePickerDialog_getDatePicker,get date picker  returns the datepicker contained in this dialog.,source
SimpleAdapter_getCount,get count  how many items are in the data set represented by this adapter.,source
CRL_getType,get type  returns the type of this crl.,source
ExifInterface_getAttributeDouble,get attribute double  returns the double value of the tag that is specified as rational or contains a  double-formatted value.,source
Currency_getSymbol,get symbol  convenience and compatibility override of getname that  requests the symbol name for the default display locale.,source
LogRecord_getThrown,get thrown  get any throwable associated with the log record.,source
DrmRights_getMimeType,get mime type  retrieves the mime type associated with this drmrights object.,source
Throwable_getCause,get cause  returns the cause of this throwable or null if the  cause is nonexistent or unknown.,source
NumberFormat_getInstance,get instance  note: new users are strongly encouraged to use  numberformatter instead of numberformat.,source
Signature_getInstance,get instance  returns a signature object that implements the specified signature  algorithm.,source
ZipEntry_getMethod,get method  returns the compression method of the entry.,source
Environment_getDownloadCacheDirectory,get download cache directory  return the download/cache content directory.,source
StackTraceElement_getFileName,get file name  returns the name of the source file containing the execution point  represented by this stack trace element.,source
BluetoothAdapter_getProfileProxy,get profile proxy  get the profile proxy object associated with the profile.,source
DecimalFormat_getNegativeSuffix,get negative suffix  affixes: gets the negative suffix string currently being used to format  numbers.,source
FileInputStream_getChannel,get channel  returns the unique filechannel  object associated with this file input stream.,source
CollationKey_compareTo,compare to  compare this collationkey to another collationkey.,source
RandomAccessFile_getFilePointer,get file pointer  returns the current offset in this file.,source
SocketChannel_write,write  writes a sequence of bytes to this channel from the given buffer.,source
SearchView_getInputType,get input type  returns the input type set on the query text field.,source
AudioRecord_getSampleRate,get sample rate  returns the configured audio sink sample rate in hz.,source
SSLContext_getInstance,get instance  returns a sslcontext object that implements the  specified secure socket protocol.,source
ValueAnimator_getDuration,get duration  gets the length of the animation.,source
Method_getName,"get name  returns the name of the method represented by this method  object, as a string.",source
Matrix3f_get,get  returns the value for a given row and column,source
KeyFactory_getKeySpec,get key spec  returns a specification  of the given key object.,source
SAXException_getException,"get exception  return the embedded exception, if any.",source
ParsePosition_getIndex,get index  retrieve the current parse position.,source
MtpDevice_getObject,get object  returns the data for an object as a byte array.,source
URLConnection_getUseCaches,get use caches  returns the value of this urlconnection's  usecaches field.,source
AutoCompleteTextView_getDropDownHorizontalOffset,get drop down horizontal offset  gets the horizontal offset used for the auto-complete drop-down list.,source
CertPathValidator_getAlgorithm,get algorithm  returns the algorithm name of this certpathvalidator.,source
NetworkInterface_getHardwareAddress,get hardware address  returns the hardware address  of the interface if it  has one and if it can be accessed given the current privileges.,source
NfcB_transceive,transceive  send raw nfc-b commands to the tag and receive the response.,source
AudioRecord_getRecordingState,get recording state  returns the recording state of the audiorecord instance.,source
SocketImpl_toString,to string  returns the address and port of this socket as a string.,source
MtpDevice_getObjectInfo,get object info  retrieves the mtpobjectinfo for an object.,source
FocusFinder_getInstance,get instance  get the focus finder for this thread.,source
TextToSpeech_getDefaultEngine,get default engine  gets the package name of the default speech synthesis engine.,source
Method_getParameterTypes,"get parameter types  returns an array of class objects that represent the formal  parameter types, in declaration order, of the executable  represented by this object.",source
JarFile_getJarEntry,get jar entry  returns the jarentry for the given entry name or  null if not found.,source
DynamicLayout_getEllipsisStart,"get ellipsis start  return the offset of the first character to be ellipsized away,  relative to the start of the line.",source
Calendar_getActualMaximum,"get actual maximum  returns the maximum value that this field could have, given the  current date.",source
TypedArray_getIndex,get index  returns an index in the array that has data.,source
KeyStore_getDefaultType,"get default type  returns the default keystore type as specified by the  keystore.type security property, or the string  ""jks""   if no such property exists.",source
HttpRetryException_getLocation,get location  returns the value of the location header field if the  error resulted from redirection.,source
WebSettings_getDefaultTextEncodingName,get default text encoding name  gets the default text encoding name.,source
Geocoder_getFromLocation,get from location  provides an array of addresses that attempt to describe the area immediately surrounding the  given latitude and longitude.,source
RSAPrivateKeySpec_getModulus,get modulus  returns the modulus.,source
MtpObjectInfo_getCompressedSize,get compressed size  returns the size of the mtp object,source
SipAudioCall_getState,get state  gets the state of the sipsession that carries this call.,source
SipManager_getCallId,get call id  gets the call id from the specified incoming call broadcast intent.,source
ExpandableListActivity_getSelectedPosition,get selected position  gets the position  of the currently  selected group or child.,source
FocusFinder_getInstance,get instance  get the focus finder for this thread.,source
InputSource_getPublicId,get public id  get the public identifier for this input source.,source
AudioTrack_getChannelCount,get channel count  returns the configured number of channels.,source
AbstractCursor_getExtras,get extras  returns a bundle of extra values.,source
TypedArray_getIndexCount,get index count  returns the number of indices in the array that actually have data.,source
IsolatedContext_getFilesDir,get files dir  returns the absolute path to the directory on the filesystem where files  created with openfileoutput are stored.,source
ResourceBundle_keySet,key set  returns a set of all keys contained in this  resourcebundle and its parent bundles.,source
Animation_getTransformation,get transformation  gets the transformation to apply at a specified point in time.,source
NetworkInterface_getName,get name  get the name of this network interface.,source
TypedArray_getDimensionPixelSize,get dimension pixel size  retrieve a dimensional unit attribute at index for use  as a size in raw pixels.,source
MtpStorageInfo_getFreeSpace,get free space  returns the amount of free space in the storage unit in bytes,source
IllegalFormatCodePointException_getCodePoint,get code point  returns the illegal code point as defined by character.isvalidcodepoint.,source
RadioGroup_getCheckedRadioButtonId,get checked radio button id  returns the identifier of the selected radio button in this group.,source
Certificate_getEncoded,get encoded  returns the encoded form of this certificate.,source
URI_getRawPath,get raw path  returns the raw path component of this uri.,source
ReentrantReadWriteLock_getQueueLength,get queue length  returns an estimate of the number of threads waiting to acquire  either the read or write lock.,source
DatagramSocket_getLocalAddress,get local address  gets the local address to which the socket is bound.,source
InetSocketAddress_getPort,get port  gets the port number.,source
URLConnection_getHeaderField,get header field  returns the value of the named header field.,source
SimpleTimeZone_getRawOffset,get raw offset  gets the gmt offset for this time zone.,source
Signature_toString,"to string  returns a string representation of this signature object,  providing information that includes the state of the object  and the name of the algorithm used.",source
PatternSyntaxException_getIndex,get index  retrieves the error index.,source
RadioGroup_getCheckedRadioButtonId,get checked radio button id  returns the identifier of the selected radio button in this group.,source
Preference_getWidgetLayoutResource,get widget layout resource  gets the layout resource for the controllable widget portion of this preference.,source
Provider_getService,get service  get the service describing this provider's implementation of the  specified type of this algorithm or alias.,source
DocumentBuilderFactory_getSchema,get schema  gets the schema object specified through  the setschema method.,source
RandomAccessFile_getFD,get f d  returns the opaque file descriptor object associated with this  stream.,source
InetAddress_getAllByName,"get all by name  given the name of a host, returns an array of its ip addresses,  based on the configured name service on the system.",source
TypedArray_getTextArray,get text array  retrieve the charsequence[] for the attribute at index.,source
SslError_getCertificate,get certificate  gets the ssl certificate associated with this object.,source
Time_getActualMaximum,get actual maximum  return the maximum possible value for the given field given the value of  the other fields.,source
ShortBuffer_get,get  relative get method.,source
DateFormat_getMediumDateFormat,get medium date format  returns a dateformat object that can format the date  in medium form  for the context's locale.,source
DecimalFormatSymbols_getAvailableLocales,get available locales  returns an array of all locales for which the getinstance methods of  this class can return localized instances.,source
LogRecord_getParameters,get parameters  get the parameters to the log message.,source
FocusFinder_getInstance,get instance  get the focus finder for this thread.,source
LogManager_getLoggerNames,get logger names  get an enumeration of known logger names.,source
Animation_getZAdjustment,get z adjustment  returns the z ordering mode to use while running the animation as  previously set by setzadjustment.,source
ObjectStreamField_getOffset,get offset  offset of field within instance data.,source
AutoCompleteTextView_getValidator,"get validator  returns the validator set with setvalidator,  or null if it was not set.",source
AbstractQueuedSynchronizer_getSharedQueuedThreads,get shared queued threads  returns a collection containing threads that may be waiting to  acquire in shared mode.,source
StringCharacterIterator_getIndex,get index  implements characteriterator.getindex for string.,source
ContextThemeWrapper_getResources,get resources  returns a resources instance for the application's package.,source
Animation_getTransformation,get transformation  gets the transformation to apply at a specified point in time.,source
SipManager_createSipSession,create sip session  creates a sipsession with the specified profile.,source
URLSpan_getSpanTypeId,get span type id  return a special type identifier for this span class.,source
MappedByteBuffer_load,load  loads this buffer's content into physical memory.,source
UsbRequest_getEndpoint,"get endpoint  returns the endpoint for the request, or null if the request is not opened.",source
FrameLayout_getMeasureAllChildren,"get measure all children  determines whether all children, or just those in the visible or  invisible state, are considered when measuring.",source
Deflater_getBytesWritten,get bytes written  returns the total number of compressed bytes output so far.,source
URI_getRawSchemeSpecificPart,get raw scheme specific part  returns the raw scheme-specific part of this uri.,source
AudioGroup_getMode,get mode  returns the current mode.,source
AttributesImpl_getValue,get value  look up an attribute's value by qualified  name.,source
Equalizer_getCenterFreq,get center freq  gets the center frequency of the given band.,source
SimpleAdapter_getItemId,get item id  get the row id associated with the specified position in the list.,source
MtpObjectInfo_getAssociationDesc,get association desc  returns the association description for the mtp object  will be zero objects that are not of format  mtpconstants.format_association,source
PatternSyntaxException_getMessage,"get message  returns a multi-line string containing the description of the syntax  error and its index, the erroneous regular-expression pattern, and a  visual indication of the error index within the pattern.",source
DatePicker_getMaxDate,"get max date  gets the maximal date supported by this datepicker in  milliseconds since january 1, 1970 00:00:00 in  timezone.getdefault time zone.",source
URI_getPort,get port  returns the port number of this uri.,source
Animation_getStartOffset,"get start offset  when this animation should start, relative to starttime",source
ClassLoader_getResourceAsStream,get resource as stream  returns an input stream for reading the specified resource.,source
ClassLoader_loadClass,load class  loads the class with the specified binary name.,source
AccountManager_getUserData,"get user data  gets the user data named by ""key"" associated with the account.",source
IllegalFormatFlagsException_getMessage,get message  returns the detail message string of this throwable.,source
CertPathValidator_getProvider,get provider  returns the provider of this  certpathvalidator.,source
MifareUltralight_getTag,get tag  get the tag object backing this tagtechnology object.,source
Socket_getReuseAddress,get reuse address  tests if so_reuseaddr is enabled.,source
AccountManager_getAuthenticatorTypes,get authenticator types  lists the currently registered authenticators.,source
ValueAnimator_getFrameDelay,"get frame delay  the amount of time, in milliseconds, between each frame of the animation.",source
DateFormat_getLongDateFormat,get long date format  returns a dateformat object that can format the date  in long form  for the context's locale.,source
X509Certificate_getSubjectAlternativeNames,"get subject alternative names  gets an immutable collection of subject alternative names from the  subjectaltname extension, .",source
DHPublicKeySpec_getG,get g  returns the base generator g.,source
PKIXParameters_getDate,get date  returns the time for which the validity of the certification path  should be determined.,source
DatagramSocket_getSoTimeout,get so timeout  retrieve setting for so_timeout.,source
SSLEngine_getSSLParameters,get ssl parameters  returns the sslparameters in effect for this sslengine.,source
ScaleGestureDetector_getFocusX,get focus x  get the x coordinate of the current gesture's focal point.,source
ScheduledThreadPoolExecutor_shutdownNow,"shutdown now  attempts to stop all actively executing tasks, halts the  processing of waiting tasks, and returns a list of the tasks  that were awaiting execution.",source
ClassLoader_loadClass,load class  loads the class with the specified binary name.,source
Preference_getTitle,get title  returns the title of this preference.,source
SelectorProvider_inheritedChannel,inherited channel  returns the channel inherited from the entity that created this  java virtual machine.,source
ViewAnimator_getDisplayedChild,get displayed child  returns the index of the currently displayed child view.,source
Currency_getInstance,get instance  returns a currency object given an iso 4217 3-letter code.,source
Element_getChild,get child  gets the child element with the given name.,source
MediaRouter_getCategoryAt,get category at  return the category at the given index.,source
NetworkInterface_getDisplayName,get display name  get the display name of this network interface.,source
CertPathValidator_getAlgorithm,get algorithm  returns the algorithm name of this certpathvalidator.,source
EllipticCurve_getB,get b  returns the second coefficient b of the  elliptic curve.,source
EasyEditSpan_getSpanTypeId,get span type id  return a special type identifier for this span class.,source
PatternSyntaxException_getDescription,get description  retrieves the description of the error.,source
AccessibilityService_getServiceInfo,get service info  gets the an accessibilityserviceinfo describing this  accessibilityservice.,source
IsoDep_getHiLayerResponse,get hi layer response  return the higher layer response bytes for nfcb tags.,source
AccessibilityManager_getEnabledAccessibilityServiceList,get enabled accessibility service list  returns the accessibilityserviceinfos of the enabled accessibility services  for a given feedback type.,source
ViewStub_getLayoutInflater,get layout inflater  get current layoutinflater used in inflate.,source
JarEntry_getCodeSigners,"get code signers  returns the codesigner objects for this entry, or  null if none.",source
LocalActivityManager_destroyActivity,destroy activity  destroy the activity associated with a particular id.,source
CharsetDecoder_unmappableCharacterAction,unmappable character action  returns this decoder's current action for unmappable-character errors.,source
NumberFormat_format,format  [icu] formats a biginteger.,source
JarEntry_getAttributes,"get attributes  returns the manifest attributes for this  entry, or null if none.",source
IllegalFormatFlagsException_getMessage,get message  returns the detail message string of this throwable.,source
TrustAnchor_getTrustedCert,get trusted cert  returns the most-trusted ca certificate.,source
SensorManager_getAngleChange,get angle change  helper function to compute the angle change between two rotation matrices.,source
SAXParseException_getPublicId,get public id  get the public identifier of the entity where the exception occurred.,source
KeyGenerator_getAlgorithm,get algorithm  returns the algorithm name of this keygenerator object.,source
AccessibilityRecord_getItemCount,get item count  gets the number of items that can be visited.,source
SslError_getCertificate,get certificate  gets the ssl certificate associated with this object.,source
