key,docs,class,classification,category_map
Properties_storeToXML," emits an xml document representing all of the properties contained  in this table, using the specified encoding .  the properties class represents a persistent set of properties  the properties can be saved to a stream or loaded from a stream  each key and its corresponding value in the property list is a string",Properties,sink,no category
AppWidgetManager_getAppWidgetOptions, get the extras associated with a given widget instance .  updates app widget state; gets information about installed app widget providers and other app widget related state,AppWidgetManager,source,no category
SQLiteProgram_bindNull, bind a null value to this statement .  a base class for compiled s q lite programs,SQLiteProgram,sink,no category
AudioManager_getMode, returns the current audio mode .  audio manager provides access to volume and ringer mode control,AudioManager,source,no category
BassBoost_setProperties, sets the bass boost properties .  bass boost is an audio effect to boost or amplify low frequencies of the sound  it is comparable to a simple equalizer but limited to one band amplification in the low frequency range,BassBoost,sink,audio
AudioManager_setBluetoothScoOn, request use of bluetooth sco headset for communications .  audio manager provides access to volume and ringer mode control,AudioManager,sink,audio
ShapeDrawable_getConstantState," return a constant state instance that holds the shared state of this drawable .  a drawable object that draws primitive shapes  a shape drawable takes a shape object and manages its presence on the screen  if no shape is given, then the shape drawable will default to a rect shape",ShapeDrawable,source,no category
Properties_setProperty, calls the hashtable method put .  the properties class represents a persistent set of properties  the properties can be saved to a stream or loaded from a stream  each key and its corresponding value in the property list is a string,Properties,sink,no category
AccountManager_addAccountExplicitly," adds an account directly to the account manager .  this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",AccountManager,sink,user account
NfcF_get, get an instance of nfc f for the given tag .  provides access to nfc f  properties and i/ o operations on a tag,NfcF,source,nfc information
AudioTrack_getState," returns the state of the audio track instance .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",AudioTrack,source,no category
ThreadGroup_setMaxPriority," sets the maximum priority of the group .  a thread group represents a set of threads  in addition, a thread group can also include other thread groups  the thread groups form a tree in which every thread group except the initial thread group has a parent",ThreadGroup,sink,no category
MessageFormat_getFormats," returns the format objects used for the format elements in the  previously set pattern string . icu's replacement for message format  methods, fields, and other functionality specific to icu are labeled '[icu]'",MessageFormat,source,no category
ValueAnimator_getStartDelay," the amount of time, in milliseconds, to delay starting the animation after  start is called .  this class provides a simple timing engine for running animations which calculate animated values and set them on target objects",ValueAnimator,source,no category
SurfaceView_setZOrderOnTop," control whether the surface view's surface is placed on top of its  window .  provides a dedicated drawing surface embedded inside of a view hierarchy  you can control the format of this surface and, if you like, its size; the surface view takes care of placing the surface at the correct location on the scree",SurfaceView,sink,no category
ObjectAnimator_setDuration, sets the length of the animation .  this subclass of value animator provides support for animating properties on target objects  the constructors of this class take parameters to define the target object that will be animated as well as the name of the property that will be animated  appropriate set/get functions are then determined internally and the animation will call these functions as necessary to animate the property,ObjectAnimator,sink,no category
Array_getDouble," returns the value of the indexed component in the specified  array object, as a double .  the array class provides static methods to dynamically create and access java arrays",Array,source,no category
SimpleCursorAdapter_setViewText," called by bind view to set the text for a text view but only if  there is no existing view binder or if the existing view binder cannot  handle binding to a text view .  an easy adapter to map columns from a cursor to text views or image views defined in an xml file  you can specify which columns you want, which views you want to display the columns, and the xml file that defines the appearance of these views  binding occurs in two phases  first, if a simple cursor adapter view binder is available, view binder set view value is invoked  if the returned value is true, binding has occured  if the returned value is false and the view to bind is a text view, set view text is invoked  if the returned value is false and the view to bind is an image view, set view image is invoked  if no appropriate binding can be found, an illegal state exception is thrown  if this adapter is used with filtering, for instance in an auto complete text view, you can use the simple cursor adapter cursor to string converter and the filter query provider interfaces to get control over the filtering process  you can refer to convert to string and cursor adapter run query on background thread for more information",SimpleCursorAdapter,sink,no category
ThreadGroup_getName," returns the name of this thread group .  a thread group represents a set of threads  in addition, a thread group can also include other thread groups  the thread groups form a tree in which every thread group except the initial thread group has a parent",ThreadGroup,source,no category
MediaPlayer_addTimedTextSource, adds an external timed text source file  .  media player class can be used to control playback of audio/video files and streams,MediaPlayer,sink,files
MulticastSocket_setTimeToLive," set the default time-to-live for multicast packets sent out  on this multicast socket in order to control the  scope of the multicasts .  the multicast datagram socket class is useful for sending and receiving ip multicast packets   a multicast socket is a  datagram socket, with additional capabilities for joining ""groups"" of other multicast hosts on the internet",MulticastSocket,sink,no category
DecimalFormatSymbols_getDecimalSeparator," returns the character used for decimal sign . icu's replacement for decimal format symbols  methods, fields, and other functionality specific to icu are labeled '[icu]'  this class represents the set of symbols  needed by decimal format to format numbers  decimal format creates for itself an instance of decimal format symbols from its locale data   if you need to change any of these symbols, you can get the decimal format symbols object from your decimal format and modify it",DecimalFormatSymbols,source,no category
Attributes_put," associates the specified value with the specified attribute name   in this map .  the attributes class maps manifest attribute names to associated string values  valid attribute names are case insensitive, are restricted to the ascii characters in the set [0 9a z a z_ ], and cannot exceed 70 characters in length  attribute values can contain any characters and will be u t f8 encoded when written to the output stream   see the jar file specification for more information about valid attribute names and values",Attributes,sink,no category
WallpaperManager_getWallpaperInfo," returns the information about the wallpaper if the current wallpaper is  a live wallpaper component .  provides access to the system wallpaper  with wallpaper manager, you can get the current wallpaper, get the desired dimensions for the wallpaper, set the wallpaper, and more",WallpaperManager,source,no category
Field_getLong," gets the value of a static or instance field of type  long or of another primitive type convertible to  type long via a widening conversion .  a field provides information about, and dynamic access to, a single field of a class or an interface   the reflected field may be a class  field or an instance field",Field,source,no category
Field_getDeclaringClass," returns the class object representing the class or interface  that declares the field represented by this field object .  a field provides information about, and dynamic access to, a single field of a class or an interface   the reflected field may be a class  field or an instance field",Field,source,no category
SimpleCursorAdapter_getStringConversionColumn," return the index of the column used to get a string representation  of the cursor .  an easy adapter to map columns from a cursor to text views or image views defined in an xml file  you can specify which columns you want, which views you want to display the columns, and the xml file that defines the appearance of these views  binding occurs in two phases  first, if a simple cursor adapter view binder is available, view binder set view value is invoked  if the returned value is true, binding has occured  if the returned value is false and the view to bind is a text view, set view text is invoked  if the returned value is false and the view to bind is an image view, set view image is invoked  if no appropriate binding can be found, an illegal state exception is thrown  if this adapter is used with filtering, for instance in an auto complete text view, you can use the simple cursor adapter cursor to string converter and the filter query provider interfaces to get control over the filtering process  you can refer to convert to string and cursor adapter run query on background thread for more information",SimpleCursorAdapter,source,no category
JSONArray_toJSONObject," returns a new object whose values are the values in this array, and whose  names are the values in names .  a dense indexed sequence of values  values may be any mix of json objects, other json arrays, strings, booleans, integers, longs, doubles, null or json object   null  values may not be na ns, infinities, or of any type not listed here",JSONArray,sink,no category
WebSettings_setDefaultTextEncodingName," sets the default text encoding name to use when decoding html pages .  manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",WebSettings,sink,no category
Log_w, send a warn log message and log the exception .  api for sending log output,Log,sink,log
AttributesImpl_setLocalName, set the local name of a specific attribute .  default implementation of the attributes interface,AttributesImpl,sink,no category
CalendarView_getMinDate," gets the minimal date supported by this calendar view in milliseconds  since january 1, 1970 00:00:00 in time zone get default time  zone .  this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable",CalendarView,source,calendar information
ValidatorHandler_getFeature, look up the value of a feature flag .  streaming validator that works on sax stream,ValidatorHandler,source,no category
ObjectOutputStream_writeChars," writes a string as a sequence of chars .  an object output stream writes primitive data types and graphs of java objects to an output stream   the objects can be read  using an object input stream   persistent storage of objects can be accomplished by using a file for the stream   if the stream is a network socket stream, the objects can be reconstituted on another host or in another process",ObjectOutputStream,sink,no category
SimpleAdapter_getCount," how many items are in the data set represented by this adapter .  an easy adapter to map static data to views defined in an xml file  you can specify the data backing the list as an array list of maps  each entry in the array list corresponds to one row in the list  the maps contain the data for each row  you also specify an xml file that defines the views used to display the row, and a mapping from keys in the map to specific views  binding data to views occurs in two phases  first, if a simple adapter view binder is available, view binder set view value is invoked  if the returned value is true, binding has occurred  if the returned value is false, the following views are then tried in order",SimpleAdapter,source,no category
DatagramPacket_getData, returns the data buffer .  this class represents a datagram packet,DatagramPacket,source,no category
SSLParameters_getCipherSuites," returns a copy of the array of ciphersuites or null if none  have been set .  encapsulates parameters for an ssl/ tls connection  the parameters are the list of ciphersuites to be accepted in an ssl/ tls handshake, the list of protocols to be allowed, the endpoint identification algorithm during ssl/ tls handshaking, the server name indication , the algorithm constraints and whether ssl/ tls servers should request or require client authentication, etc",SSLParameters,source,network information
CookieManager_setCookie, sets a single cookie  for the given url .  manages the cookies used by an application's web view instances,CookieManager,sink,no category
Debug_getLoadedClassCount," get the number of loaded classes .  provides various debugging methods for android applications, including tracing and allocation counts",Debug,source,no category
SearchView_getMaxWidth," gets the specified maximum width in pixels, if set .  a widget that provides a user interface for the user to enter a search query and submit a request to a search provider  shows a list of query suggestions or results, if available, and allows the user to pick a suggestion or result to launch into",SearchView,source,no category
ServerSocket_setPerformancePreferences," sets performance preferences for this server socket .  this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",ServerSocket,sink,no category
WebSettings_getLoadsImagesAutomatically," gets whether the web view loads image resources .  manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",WebSettings,source,no category
AppWidgetManager_getInstance, get the app widget manager instance to use for the supplied context object .  updates app widget state; gets information about installed app widget providers and other app widget related state,AppWidgetManager,source,no category
WifiP2pManager_removeGroup," remove the current p2p group .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",WifiP2pManager,sink,network connection
CollationElementIterator_getOffset, returns the character offset in the source string  corresponding to the next collation element .  collation element iterator is an iterator created by a rule based collator to walk through a string  the return result of each iteration is a 32 bit collation element  that defines the ordering priority of the next character or sequence of characters in the source string,CollationElementIterator,source,no category
AccessibilityService_performGlobalAction," performs a global action .  accessibility services should only be used to assist users with disabilities in using android devices and apps  they run in the background and receive callbacks by the system when accessibility events are fired  such events denote some state transition in the user interface, for example, the focus has changed, a button has been clicked, etc  such a service can optionally request the capability for querying the content of the active window  development of an accessibility service requires extending this class and implementing its abstract methods",AccessibilityService,sink,log
DecimalFormatSymbols_getExponentSeparator," [icu] returns the string used to separate the mantissa from the exponent . icu's replacement for decimal format symbols  methods, fields, and other functionality specific to icu are labeled '[icu]'  this class represents the set of symbols  needed by decimal format to format numbers  decimal format creates for itself an instance of decimal format symbols from its locale data   if you need to change any of these symbols, you can get the decimal format symbols object from your decimal format and modify it",DecimalFormatSymbols,source,no category
DateFormatSymbols_getInstance," returns a date format symbols instance for the default locale . icu's replacement for date format symbols  methods, fields, and other functionality specific to icu are labeled '[icu]'",DateFormatSymbols,source,no category
ObjectOutputStream_writeDouble," writes a 64 bit double .  an object output stream writes primitive data types and graphs of java objects to an output stream   the objects can be read  using an object input stream   persistent storage of objects can be accomplished by using a file for the stream   if the stream is a network socket stream, the objects can be reconstituted on another host or in another process",ObjectOutputStream,sink,no category
DatagramSocket_getRemoteSocketAddress," returns the address of the endpoint this socket is connected to, or  null if it is unconnected .  this class represents a socket for sending and receiving datagram packets",DatagramSocket,source,no category
WebSettings_getBlockNetworkImage," gets whether the web view does not load image resources from the network .  manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",WebSettings,source,no category
AccountManager_getPassword," gets the saved password associated with the account .  this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",AccountManager,source,user account
DatagramPacket_getAddress, returns the ip address of the machine to which this datagram is being  sent or from which the datagram was received .  this class represents a datagram packet,DatagramPacket,source,no category
NumberFormat_getCurrencyInstance,"  new users are strongly encouraged to use  number formatter instead of number format . icu's replacement for number format  methods, fields, and other functionality specific to icu are labeled '[icu]'",NumberFormat,source,no category
LocationManager_addNmeaListener," adds an nmea listener .  this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",LocationManager,sink,geolocation
WebSettings_getMinimumFontSize," gets the minimum font size .  manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",WebSettings,source,no category
SimpleAdapter_getViewBinder," returns the view binder used to bind data to views .  an easy adapter to map static data to views defined in an xml file  you can specify the data backing the list as an array list of maps  each entry in the array list corresponds to one row in the list  the maps contain the data for each row  you also specify an xml file that defines the views used to display the row, and a mapping from keys in the map to specific views  binding data to views occurs in two phases  first, if a simple adapter view binder is available, view binder set view value is invoked  if the returned value is true, binding has occurred  if the returned value is false, the following views are then tried in order",SimpleAdapter,source,no category
CollationElementIterator_setText," set a new source string for iteration, and reset the offset  to the beginning of the text .  collation element iterator is an iterator created by a rule based collator to walk through a string  the return result of each iteration is a 32 bit collation element  that defines the ordering priority of the next character or sequence of characters in the source string",CollationElementIterator,sink,no category
BufferedOutputStream_write," writes len bytes from the specified byte array  starting at offset off to this buffered output stream .  the class implements a buffered output stream  by setting up such an output stream, an application can write bytes to the underlying output stream without necessarily causing a call to the underlying system for each byte written",BufferedOutputStream,sink,no category
ObjectAnimator_getPropertyName, gets the name of the property that will be animated .  this subclass of value animator provides support for animating properties on target objects  the constructors of this class take parameters to define the target object that will be animated as well as the name of the property that will be animated  appropriate set/get functions are then determined internally and the animation will call these functions as necessary to animate the property,ObjectAnimator,source,no category
EditText_setSelection, convenience for selection set selection .  an editable text view that shows completion suggestions automatically while the user is typing,EditText,sink,no category
SmsManager_divideMessage," divide a message text into several fragments, none bigger than the maximum sms message size .  manages sms operations such as sending data, text, and pdu sms messages  get this object by calling the static method get default  to create an instance of sms manager associated with a specific subscription i d, call get sms manager for subscription id  this is typically used for devices that support multiple active subscriptions at once",SmsManager,source,network information
CRC32_getValue, returns crc-32 value .  a class that can be used to compute the crc 32 of a data stream,CRC32,source,no category
NumberFormat_getAvailableLocales," returns the list of locales for which number formats are available . icu's replacement for number format  methods, fields, and other functionality specific to icu are labeled '[icu]'",NumberFormat,source,no category
ViewStub_getLayoutInflater," get current layout inflater used in inflate .  a view stub is an invisible, zero sized view that can be used to lazily inflate layout resources at runtime  when a view stub is made visible, or when inflate  is invoked, the layout resource is inflated  the view stub then replaces itself in its parent with the inflated view or views  therefore, the view stub exists in the view hierarchy until set visibility or inflate is invoked  the inflated view is added to the view stub's parent with the view stub's layout parameters  similarly, you can define/override the inflate view's id by using the view stub's inflated id property  for instance",ViewStub,source,no category
PrintWriter_println," prints an object and then terminates the line .  prints formatted representations of objects to a text output stream   this class implements all of the print methods found in print stream   it does not contain methods for writing raw bytes, for which a program should use unencoded byte streams",PrintWriter,sink,no category
BluetoothHeadset_startVoiceRecognition, start bluetooth voice recognition .  public api for controlling the bluetooth headset service  this includes both bluetooth headset and handsfree  profiles,BluetoothHeadset,sink,bluetooth
AtomicLong_getAndAdd," atomically adds the given value to the current value,  with memory effects as specified by var handle get and add .  a long value that may be updated atomically   see the var handle specification for descriptions of the properties of atomic accesses  an atomic long is used in applications such as atomically incremented sequence numbers, and cannot be used as a replacement for a long  however, this class does extend number to allow uniform access by tools and utilities that deal with numerically based classes",AtomicLong,source,no category
Socket_setTcpNoDelay, enable/disable tcp_nodelay   .  this class implements client sockets   a socket is an endpoint for communication between two machines,Socket,sink,no category
SpeechRecognizer_setRecognitionListener," sets the listener that will receive all the callbacks .  this class provides access to the speech recognition service  this service allows access to the speech recognizer  do not instantiate this class directly, instead, call speech recognizer create speech recognizer, or speech recognizer create on device speech recognizer  this class's methods must be invoked only from the main application thread",SpeechRecognizer,sink,no category
Array_getShort," returns the value of the indexed component in the specified  array object, as a short .  the array class provides static methods to dynamically create and access java arrays",Array,source,no category
DateFormat_getAvailableLocales," returns the set of locales for which date formats are installed . icu's replacement for date format  methods, fields, and other functionality specific to icu are labeled '[icu]'",DateFormat,source,no category
WebSettings_getDefaultUserAgent," returns the default user- agent used by a web view .  manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",WebSettings,source,no category
NfcA_setTimeout, set the transceive timeout in milliseconds .  provides access to nfc a  properties and i/ o operations on a tag,NfcA,sink,nfc communication
KeyChain_choosePrivateKeyAlias, launches an activity for the user to select the alias  for a private key and certificate pair for authentication .  the key chain class provides access to private keys and their corresponding certificate chains in credential storage,KeyChain,sink,no category
SSLParameters_setProtocols," sets the array of protocols .  encapsulates parameters for an ssl/ tls connection  the parameters are the list of ciphersuites to be accepted in an ssl/ tls handshake, the list of protocols to be allowed, the endpoint identification algorithm during ssl/ tls handshaking, the server name indication , the algorithm constraints and whether ssl/ tls servers should request or require client authentication, etc",SSLParameters,sink,no category
ValidatorHandler_setFeature, set the value of a feature flag .  streaming validator that works on sax stream,ValidatorHandler,sink,no category
DecimalFormatSymbols_getCurrencySymbol," returns the string denoting the local currency . icu's replacement for decimal format symbols  methods, fields, and other functionality specific to icu are labeled '[icu]'  this class represents the set of symbols  needed by decimal format to format numbers  decimal format creates for itself an instance of decimal format symbols from its locale data   if you need to change any of these symbols, you can get the decimal format symbols object from your decimal format and modify it",DecimalFormatSymbols,source,no category
ServerSocket_getLocalPort," returns the port number on which this socket is listening .  this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",ServerSocket,source,no category
WebSettings_getLoadWithOverviewMode," gets whether this web view loads pages in overview mode .  manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",WebSettings,source,no category
SearchManager_getGlobalSearchActivity, gets the name of the global search activity .  this class provides access to the system search services,SearchManager,source,no category
Field_getShort," gets the value of a static or instance field of type  short or of another primitive type convertible to  type short via a widening conversion .  a field provides information about, and dynamic access to, a single field of a class or an interface   the reflected field may be a class  field or an instance field",Field,source,no category
URL_getRef," gets the anchor  of this  url .  class url represents a uniform resource locator, a pointer to a ""resource"" on the world wide web  a resource can be something as simple as a file or a directory, or it can be a reference to a more complicated object, such as a query to a database or to a search engine  more information on the types of urls and their formats can be found at: types of ur",URL,source,no category
DecimalFormatSymbols_getInstance," returns a decimal format symbols instance for the default locale . icu's replacement for decimal format symbols  methods, fields, and other functionality specific to icu are labeled '[icu]'  this class represents the set of symbols  needed by decimal format to format numbers  decimal format creates for itself an instance of decimal format symbols from its locale data   if you need to change any of these symbols, you can get the decimal format symbols object from your decimal format and modify it",DecimalFormatSymbols,source,no category
ValueAnimator_getValues, returns the values that this value animator animates between .  this class provides a simple timing engine for running animations which calculate animated values and set them on target objects,ValueAnimator,source,no category
WebSettings_setCacheMode," overrides the way the cache is used .  manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",WebSettings,sink,no category
MediaMetadataRetriever_getFrameAtTime, call this method after set data source .  media metadata retriever class provides a unified interface for retrieving frame and meta data from an input media file,MediaMetadataRetriever,source,no category
AttributesImpl_getLocalName, return an attribute's local name .  default implementation of the attributes interface,AttributesImpl,source,no category
AttributesImpl_getURI, return an attribute's namespace uri .  default implementation of the attributes interface,AttributesImpl,source,files
Array_get, returns the value of the indexed component in the specified  array object .  the array class provides static methods to dynamically create and access java arrays,Array,source,no category
ValueAnimator_getCurrentPlayTime," gets the current position of the animation in time, which is equal to the current  time minus the time that the animation started .  this class provides a simple timing engine for running animations which calculate animated values and set them on target objects",ValueAnimator,source,no category
DatagramSocket_bind, binds this datagram socket to a specific address and port .  this class represents a socket for sending and receiving datagram packets,DatagramSocket,sink,no category
AccountManager_getAuthenticatorTypes," lists the currently registered authenticators .  this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",AccountManager,source,user account
Calendar_clone," overrides cloneabl . icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",Calendar,source,calendar information
DecimalFormatSymbols_getMinusSign," returns the character used to represent minus sign . icu's replacement for decimal format symbols  methods, fields, and other functionality specific to icu are labeled '[icu]'  this class represents the set of symbols  needed by decimal format to format numbers  decimal format creates for itself an instance of decimal format symbols from its locale data   if you need to change any of these symbols, you can get the decimal format symbols object from your decimal format and modify it",DecimalFormatSymbols,source,no category
URL_getPort," gets the port number of this url .  class url represents a uniform resource locator, a pointer to a ""resource"" on the world wide web  a resource can be something as simple as a file or a directory, or it can be a reference to a more complicated object, such as a query to a database or to a search engine  more information on the types of urls and their formats can be found at: types of ur",URL,source,no category
SQLiteCursor_getColumnNames, returns a string array holding the names of all of the columns in the  result set in the order in which they were listed in the result .  a cursor implementation that exposes results from a query on a s q lite database  s q lite cursor is not internally synchronized so code using a s q lite cursor from multiple threads should perform its own synchronization when using the s q lite cursor,SQLiteCursor,source,database
LocationManager_getAllProviders," returns a list of the names of all available location providers .  this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",LocationManager,source,geolocation
BackupAgentHelper_onRestore," run the restore process on each of the configured handlers .  a convenient backup agent wrapper class that automatically manages heterogeneous data sets within the backup data, each identified by a unique key prefix   when processing a backup or restore operation, the backup agent helper dispatches to one or more installed backup helper objects, each of which is responsible for a defined subset of the data being processed",BackupAgentHelper,sink,no category
