key,docs,classification,class,category_map
AudioManager_setBluetoothScoOn,audio manager provides access to volume and ringer mode control,sink,AudioManager,audio
ShapeDrawable_getConstantState,"a drawable object that draws primitive shapes  a shape drawable takes a shape object and manages its presence on the screen  if no shape is given, then the shape drawable will default to a rect shape",source,ShapeDrawable,no category
Properties_setProperty,the properties class represents a persistent set of properties  the properties can be saved to a stream or loaded from a stream  each key and its corresponding value in the property list is a string,sink,Properties,no category
AccountManager_addAccountExplicitly,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",sink,AccountManager,user account
NfcF_get,provides access to nfc f  properties and i/ o operations on a tag,source,NfcF,nfc information
AudioTrack_getState,"the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category
ThreadGroup_setMaxPriority,"a thread group represents a set of threads  in addition, a thread group can also include other thread groups  the thread groups form a tree in which every thread group except the initial thread group has a parent",sink,ThreadGroup,no category
MessageFormat_getFormats,"[icu enhancement] icu's replacement for message format  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,MessageFormat,no category
ValueAnimator_getStartDelay,this class provides a simple timing engine for running animations which calculate animated values and set them on target objects,source,ValueAnimator,no category
SurfaceView_setZOrderOnTop,"provides a dedicated drawing surface embedded inside of a view hierarchy  you can control the format of this surface and, if you like, its size; the surface view takes care of placing the surface at the correct location on the scree",sink,SurfaceView,no category
ObjectAnimator_setDuration,this subclass of value animator provides support for animating properties on target objects  the constructors of this class take parameters to define the target object that will be animated as well as the name of the property that will be animated  appropriate set/get functions are then determined internally and the animation will call these functions as necessary to animate the property,sink,ObjectAnimator,no category
Array_getDouble,the array class provides static methods to dynamically create and access java arrays,source,Array,no category
SimpleCursorAdapter_setViewText,"an easy adapter to map columns from a cursor to text views or image views defined in an xml file  you can specify which columns you want, which views you want to display the columns, and the xml file that defines the appearance of these views  binding occurs in two phases  first, if a simple cursor adapter view binder is available, view binder set view value is invoked  if the returned value is true, binding has occured  if the returned value is false and the view to bind is a text view, set view text is invoked  if the returned value is false and the view to bind is an image view, set view image is invoked  if no appropriate binding can be found, an illegal state exception is thrown  if this adapter is used with filtering, for instance in an auto complete text view, you can use the simple cursor adapter cursor to string converter and the filter query provider interfaces to get control over the filtering process  you can refer to convert to string and cursor adapter run query on background thread for more information",sink,SimpleCursorAdapter,no category
ThreadGroup_getName,"a thread group represents a set of threads  in addition, a thread group can also include other thread groups  the thread groups form a tree in which every thread group except the initial thread group has a parent",source,ThreadGroup,no category
MediaPlayer_addTimedTextSource,media player class can be used to control playback of audio/video files and streams,sink,MediaPlayer,files
MulticastSocket_setTimeToLive,"the multicast datagram socket class is useful for sending and receiving ip multicast packets   a multicast socket is a  datagram socket, with additional capabilities for joining ""groups"" of other multicast hosts on the internet",sink,MulticastSocket,no category
DecimalFormatSymbols_getDecimalSeparator,"[icu enhancement] icu's replacement for decimal format symbols  methods, fields, and other functionality specific to icu are labeled '[icu]'  this class represents the set of symbols  needed by decimal format to format numbers  decimal format creates for itself an instance of decimal format symbols from its locale data   if you need to change any of these symbols, you can get the decimal format symbols object from your decimal format and modify it",source,DecimalFormatSymbols,no category
Attributes_put,"the attributes class maps manifest attribute names to associated string values  valid attribute names are case insensitive, are restricted to the ascii characters in the set [0 9a z a z_ ], and cannot exceed 70 characters in length  attribute values can contain any characters and will be u t f8 encoded when written to the output stream   see the jar file specification for more information about valid attribute names and values",sink,Attributes,no category
WallpaperManager_getWallpaperInfo,"provides access to the system wallpaper  with wallpaper manager, you can get the current wallpaper, get the desired dimensions for the wallpaper, set the wallpaper, and more",source,WallpaperManager,no category
Field_getLong,"a field provides information about, and dynamic access to, a single field of a class or an interface   the reflected field may be a class  field or an instance field",source,Field,no category
Field_getDeclaringClass,"a field provides information about, and dynamic access to, a single field of a class or an interface   the reflected field may be a class  field or an instance field",source,Field,no category
SimpleCursorAdapter_getStringConversionColumn,"an easy adapter to map columns from a cursor to text views or image views defined in an xml file  you can specify which columns you want, which views you want to display the columns, and the xml file that defines the appearance of these views  binding occurs in two phases  first, if a simple cursor adapter view binder is available, view binder set view value is invoked  if the returned value is true, binding has occured  if the returned value is false and the view to bind is a text view, set view text is invoked  if the returned value is false and the view to bind is an image view, set view image is invoked  if no appropriate binding can be found, an illegal state exception is thrown  if this adapter is used with filtering, for instance in an auto complete text view, you can use the simple cursor adapter cursor to string converter and the filter query provider interfaces to get control over the filtering process  you can refer to convert to string and cursor adapter run query on background thread for more information",source,SimpleCursorAdapter,no category
JSONArray_toJSONObject,"a dense indexed sequence of values  values may be any mix of json objects, other json arrays, strings, booleans, integers, longs, doubles, null or json object  null  values may not be na ns, infinities, or of any type not listed here",sink,JSONArray,no category
WebSettings_setDefaultTextEncodingName,"manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",sink,WebSettings,no category
Log_w,api for sending log output,sink,Log,log
AttributesImpl_setLocalName,default implementation of the attributes interface,sink,AttributesImpl,no category
CalendarView_getMinDate,this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable,source,CalendarView,calendar information
ValidatorHandler_getFeature,streaming validator that works on sax stream,source,ValidatorHandler,no category
ObjectOutputStream_writeChars,"an object output stream writes primitive data types and graphs of java objects to an output stream   the objects can be read  using an object input stream   persistent storage of objects can be accomplished by using a file for the stream   if the stream is a network socket stream, the objects can be reconstituted on another host or in another process",sink,ObjectOutputStream,no category
SimpleAdapter_getCount,"an easy adapter to map static data to views defined in an xml file  you can specify the data backing the list as an array list of maps  each entry in the array list corresponds to one row in the list  the maps contain the data for each row  you also specify an xml file that defines the views used to display the row, and a mapping from keys in the map to specific views  binding data to views occurs in two phases  first, if a simple adapter view binder is available, view binder set view value is invoked  if the returned value is true, binding has occurred  if the returned value is false, the following views are then tried in order",source,SimpleAdapter,no category
DatagramPacket_getData,this class represents a datagram packet,source,DatagramPacket,no category
SSLParameters_getCipherSuites,"encapsulates parameters for an ssl/ tls connection  the parameters are the list of ciphersuites to be accepted in an ssl/ tls handshake, the list of protocols to be allowed, the endpoint identification algorithm during ssl/ tls handshaking, the server name indication , the algorithm constraints and whether ssl/ tls servers should request or require client authentication, etc",source,SSLParameters,network information
CookieManager_setCookie,manages the cookies used by an application's web view instances,sink,CookieManager,no category
Debug_getLoadedClassCount,"provides various debugging methods for android applications, including tracing and allocation counts",source,Debug,no category
SearchView_getMaxWidth,"a widget that provides a user interface for the user to enter a search query and submit a request to a search provider  shows a list of query suggestions or results, if available, and allows the user to pick a suggestion or result to launch into",source,SearchView,no category
ServerSocket_setPerformancePreferences,"this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",sink,ServerSocket,no category
WebSettings_getLoadsImagesAutomatically,"manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",source,WebSettings,no category
AppWidgetManager_getInstance,updates app widget state; gets information about installed app widget providers and other app widget related state,source,AppWidgetManager,no category
WifiP2pManager_removeGroup,"this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection
CollationElementIterator_getOffset,collation element iterator is an iterator created by a rule based collator to walk through a string  the return result of each iteration is a 32 bit collation element  that defines the ordering priority of the next character or sequence of characters in the source string,source,CollationElementIterator,no category
AccessibilityService_performGlobalAction,"accessibility services should only be used to assist users with disabilities in using android devices and apps  they run in the background and receive callbacks by the system when accessibility events are fired  such events denote some state transition in the user interface, for example, the focus has changed, a button has been clicked, etc  such a service can optionally request the capability for querying the content of the active window  development of an accessibility service requires extending this class and implementing its abstract methods",sink,AccessibilityService,log
DecimalFormatSymbols_getExponentSeparator,"[icu enhancement] icu's replacement for decimal format symbols  methods, fields, and other functionality specific to icu are labeled '[icu]'  this class represents the set of symbols  needed by decimal format to format numbers  decimal format creates for itself an instance of decimal format symbols from its locale data   if you need to change any of these symbols, you can get the decimal format symbols object from your decimal format and modify it",source,DecimalFormatSymbols,no category
DateFormatSymbols_getInstance,"[icu enhancement] icu's replacement for date format symbols  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,DateFormatSymbols,no category
ObjectOutputStream_writeDouble,"an object output stream writes primitive data types and graphs of java objects to an output stream   the objects can be read  using an object input stream   persistent storage of objects can be accomplished by using a file for the stream   if the stream is a network socket stream, the objects can be reconstituted on another host or in another process",sink,ObjectOutputStream,no category
DatagramSocket_getRemoteSocketAddress,this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category
WebSettings_getBlockNetworkImage,"manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",source,WebSettings,no category
AccountManager_getPassword,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account
DatagramPacket_getAddress,this class represents a datagram packet,source,DatagramPacket,no category
NumberFormat_getCurrencyInstance,"[icu enhancement] icu's replacement for number format  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,NumberFormat,no category
LocationManager_addNmeaListener,"this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",sink,LocationManager,geolocation
WebSettings_getMinimumFontSize,"manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",source,WebSettings,no category
SimpleAdapter_getViewBinder,"an easy adapter to map static data to views defined in an xml file  you can specify the data backing the list as an array list of maps  each entry in the array list corresponds to one row in the list  the maps contain the data for each row  you also specify an xml file that defines the views used to display the row, and a mapping from keys in the map to specific views  binding data to views occurs in two phases  first, if a simple adapter view binder is available, view binder set view value is invoked  if the returned value is true, binding has occurred  if the returned value is false, the following views are then tried in order",source,SimpleAdapter,no category
CollationElementIterator_setText,collation element iterator is an iterator created by a rule based collator to walk through a string  the return result of each iteration is a 32 bit collation element  that defines the ordering priority of the next character or sequence of characters in the source string,sink,CollationElementIterator,no category
BufferedOutputStream_write,"the class implements a buffered output stream  by setting up such an output stream, an application can write bytes to the underlying output stream without necessarily causing a call to the underlying system for each byte written",sink,BufferedOutputStream,no category
ObjectAnimator_getPropertyName,this subclass of value animator provides support for animating properties on target objects  the constructors of this class take parameters to define the target object that will be animated as well as the name of the property that will be animated  appropriate set/get functions are then determined internally and the animation will call these functions as necessary to animate the property,source,ObjectAnimator,no category
EditText_setSelection,an editable text view that shows completion suggestions automatically while the user is typing,sink,EditText,no category
SmsManager_divideMessage,"manages sms operations such as sending data, text, and pdu sms messages  get this object by calling the static method get default  to create an instance of sms manager associated with a specific subscription i d, call get sms manager for subscription id  this is typically used for devices that support multiple active subscriptions at once",source,SmsManager,network information
CRC32_getValue,a class that can be used to compute the crc 32 of a data stream,source,CRC32,no category
NumberFormat_getAvailableLocales,"[icu enhancement] icu's replacement for number format  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,NumberFormat,no category
ViewStub_getLayoutInflater,"a view stub is an invisible, zero sized view that can be used to lazily inflate layout resources at runtime  when a view stub is made visible, or when inflate  is invoked, the layout resource is inflated  the view stub then replaces itself in its parent with the inflated view or views  therefore, the view stub exists in the view hierarchy until set visibility or inflate is invoked  the inflated view is added to the view stub's parent with the view stub's layout parameters  similarly, you can define/override the inflate view's id by using the view stub's inflated id property  for instance",source,ViewStub,no category
PrintWriter_println,"prints formatted representations of objects to a text output stream   this class implements all of the print methods found in print stream   it does not contain methods for writing raw bytes, for which a program should use unencoded byte streams",sink,PrintWriter,no category
BluetoothHeadset_startVoiceRecognition,public api for controlling the bluetooth headset service  this includes both bluetooth headset and handsfree  profiles,sink,BluetoothHeadset,bluetooth
AtomicLong_getAndAdd,"a long value that may be updated atomically   see the var handle specification for descriptions of the properties of atomic accesses  an atomic long is used in applications such as atomically incremented sequence numbers, and cannot be used as a replacement for a long  however, this class does extend number to allow uniform access by tools and utilities that deal with numerically based classes",source,AtomicLong,no category
Socket_setTcpNoDelay,this class implements client sockets   a socket is an endpoint for communication between two machines,sink,Socket,no category
SpeechRecognizer_setRecognitionListener,"this class provides access to the speech recognition service  this service allows access to the speech recognizer  do not instantiate this class directly, instead, call speech recognizer create speech recognizer, or speech recognizer create on device speech recognizer  this class's methods must be invoked only from the main application thread",sink,SpeechRecognizer,no category
Array_getShort,the array class provides static methods to dynamically create and access java arrays,source,Array,no category
DateFormat_getAvailableLocales,"[icu enhancement] icu's replacement for date format  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,DateFormat,no category
WebSettings_getDefaultUserAgent,"manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",source,WebSettings,no category
NfcA_setTimeout,provides access to nfc a  properties and i/ o operations on a tag,sink,NfcA,nfc communication
KeyChain_choosePrivateKeyAlias,the key chain class provides access to private keys and their corresponding certificate chains in credential storage,sink,KeyChain,no category
SSLParameters_setProtocols,"encapsulates parameters for an ssl/ tls connection  the parameters are the list of ciphersuites to be accepted in an ssl/ tls handshake, the list of protocols to be allowed, the endpoint identification algorithm during ssl/ tls handshaking, the server name indication , the algorithm constraints and whether ssl/ tls servers should request or require client authentication, etc",sink,SSLParameters,no category
ValidatorHandler_setFeature,streaming validator that works on sax stream,sink,ValidatorHandler,no category
DecimalFormatSymbols_getCurrencySymbol,"[icu enhancement] icu's replacement for decimal format symbols  methods, fields, and other functionality specific to icu are labeled '[icu]'  this class represents the set of symbols  needed by decimal format to format numbers  decimal format creates for itself an instance of decimal format symbols from its locale data   if you need to change any of these symbols, you can get the decimal format symbols object from your decimal format and modify it",source,DecimalFormatSymbols,no category
ServerSocket_getLocalPort,"this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",source,ServerSocket,no category
WebSettings_getLoadWithOverviewMode,"manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",source,WebSettings,no category
SearchManager_getGlobalSearchActivity,this class provides access to the system search services,source,SearchManager,no category
Field_getShort,"a field provides information about, and dynamic access to, a single field of a class or an interface   the reflected field may be a class  field or an instance field",source,Field,no category
URL_getRef,"class url represents a uniform resource locator, a pointer to a ""resource"" on the world wide web  a resource can be something as simple as a file or a directory, or it can be a reference to a more complicated object, such as a query to a database or to a search engine  more information on the types of urls and their formats can be found at: types of ur",source,URL,no category
DecimalFormatSymbols_getInstance,"[icu enhancement] icu's replacement for decimal format symbols  methods, fields, and other functionality specific to icu are labeled '[icu]'  this class represents the set of symbols  needed by decimal format to format numbers  decimal format creates for itself an instance of decimal format symbols from its locale data   if you need to change any of these symbols, you can get the decimal format symbols object from your decimal format and modify it",source,DecimalFormatSymbols,no category
ValueAnimator_getValues,this class provides a simple timing engine for running animations which calculate animated values and set them on target objects,source,ValueAnimator,no category
WebSettings_setCacheMode,"manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",sink,WebSettings,no category
MediaMetadataRetriever_getFrameAtTime,media metadata retriever class provides a unified interface for retrieving frame and meta data from an input media file,source,MediaMetadataRetriever,no category
AttributesImpl_getLocalName,default implementation of the attributes interface,source,AttributesImpl,no category
AttributesImpl_getURI,default implementation of the attributes interface,source,AttributesImpl,files
Array_get,the array class provides static methods to dynamically create and access java arrays,source,Array,no category
ValueAnimator_getCurrentPlayTime,this class provides a simple timing engine for running animations which calculate animated values and set them on target objects,source,ValueAnimator,no category
DatagramSocket_bind,this class represents a socket for sending and receiving datagram packets,sink,DatagramSocket,no category
AccountManager_getAuthenticatorTypes,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account
Calendar_clone,"[icu enhancement] icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information
DecimalFormatSymbols_getMinusSign,"[icu enhancement] icu's replacement for decimal format symbols  methods, fields, and other functionality specific to icu are labeled '[icu]'  this class represents the set of symbols  needed by decimal format to format numbers  decimal format creates for itself an instance of decimal format symbols from its locale data   if you need to change any of these symbols, you can get the decimal format symbols object from your decimal format and modify it",source,DecimalFormatSymbols,no category
URL_getPort,"class url represents a uniform resource locator, a pointer to a ""resource"" on the world wide web  a resource can be something as simple as a file or a directory, or it can be a reference to a more complicated object, such as a query to a database or to a search engine  more information on the types of urls and their formats can be found at: types of ur",source,URL,no category
SQLiteCursor_getColumnNames,a cursor implementation that exposes results from a query on a sql lite database  sql lite cursor is not internally synchronized so code using a sql lite cursor from multiple threads should perform its own synchronization when using the sql lite cursor,source,SQLiteCursor,database
LocationManager_getAllProviders,"this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",source,LocationManager,geolocation
BackupAgentHelper_onRestore,"a convenient backup agent wrapper class that automatically manages heterogeneous data sets within the backup data, each identified by a unique key prefix   when processing a backup or restore operation, the backup agent helper dispatches to one or more installed backup helper objects, each of which is responsible for a defined subset of the data being processed",sink,BackupAgentHelper,no category
Animation_getStartOffset,"abstraction for an animation that can be applied to views, surfaces, or other objects  see the animation package description file",source,Animation,no category
LocationManager_isProviderEnabled,"this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",source,LocationManager,geolocation
Throwable_getSuppressed,this exception is thrown by the access controller to indicate that a requested access  is denied,source,Throwable,no category
Virtualizer_setStrength,"an audio virtualizer is a general name for an effect to spatialize audio channels  the exact behavior of this effect is dependent on the number of audio input channels and the types and number of audio output channels of the device  for example, in the case of a stereo input and stereo headphone output, a stereo widening effect is used when this effect is turned on",sink,Virtualizer,audio
URL_getProtocol,"class url represents a uniform resource locator, a pointer to a ""resource"" on the world wide web  a resource can be something as simple as a file or a directory, or it can be a reference to a more complicated object, such as a query to a database or to a search engine  more information on the types of urls and their formats can be found at: types of ur",source,URL,no category
Deflater_getBytesWritten,this class provides support for general purpose compression using the popular zlib compression library  the zlib compression library was initially developed as part of the png graphics standard and is not protected by patents  it is fully described in the specifications at the java util zip package description,source,Deflater,no category
ValueAnimator_getInterpolator,this class provides a simple timing engine for running animations which calculate animated values and set them on target objects,source,ValueAnimator,no category
ParserAdapter_setProperty,adapt a s a x1 parser as a s a x2 xml reader,sink,ParserAdapter,no category
URLConnection_getHeaderFields,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category
Socket_setSoTimeout,this class implements client sockets   a socket is an endpoint for communication between two machines,sink,Socket,no category
Signature_clone,the signature class is used to provide applications the functionality of a digital signature algorithm  digital signatures are used for authentication and integrity assurance of digital data,source,Signature,no category
CookieManager_getCookie,manages the cookies used by an application's web view instances,source,CookieManager,no category
WebSettings_setNeedInitialFocus,"manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",sink,WebSettings,no category
Field_getAnnotation,"a field provides information about, and dynamic access to, a single field of a class or an interface   the reflected field may be a class  field or an instance field",source,Field,no category
ClassLoader_getSystemClassLoader,"a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",source,ClassLoader,network information
NumberFormat_getIntegerInstance,"[icu enhancement] icu's replacement for number format  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,NumberFormat,no category
ShortBuffer_get,a short buffer,source,ShortBuffer,no category
Socket_getRemoteSocketAddress,this class implements client sockets   a socket is an endpoint for communication between two machines,source,Socket,no category
Deflater_setInput,this class provides support for general purpose compression using the popular zlib compression library  the zlib compression library was initially developed as part of the png graphics standard and is not protected by patents  it is fully described in the specifications at the java util zip package description,sink,Deflater,no category
AudioTrack_getNotificationMarkerPosition,"the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category
ShapeDrawable_setPadding,"a drawable object that draws primitive shapes  a shape drawable takes a shape object and manages its presence on the screen  if no shape is given, then the shape drawable will default to a rect shape",sink,ShapeDrawable,no category
Binder_dumpAsync,"base class for a remotable object, the core part of a lightweight remote procedure call mechanism defined by i binder  this class is an implementation of i binder that provides standard local implementation of such an object",sink,Binder,files
MessageFormat_setFormat,"[icu enhancement] icu's replacement for message format  methods, fields, and other functionality specific to icu are labeled '[icu]'",sink,MessageFormat,no category
MediaRecorder_setAudioSamplingRate,used to record audio and video  the recording control is based on a simple state machine ,sink,MediaRecorder,no category
ObjectAnimator_getTarget,this subclass of value animator provides support for animating properties on target objects  the constructors of this class take parameters to define the target object that will be animated as well as the name of the property that will be animated  appropriate set/get functions are then determined internally and the animation will call these functions as necessary to animate the property,source,ObjectAnimator,no category
Log_d,api for sending log output,sink,Log,log
LocationManager_setTestProviderLocation,"this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",sink,LocationManager,geolocation
ByteBuffer_get,a byte buffer,source,ByteBuffer,no category
Deflater_getTotalIn,this class provides support for general purpose compression using the popular zlib compression library  the zlib compression library was initially developed as part of the png graphics standard and is not protected by patents  it is fully described in the specifications at the java util zip package description,source,Deflater,no category
DatagramSocket_getSendBufferSize,this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category
TrafficStats_getMobileTxBytes,"class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",source,TrafficStats,network information
DateFormat_getDateInstance,"[icu enhancement] icu's replacement for date format  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,DateFormat,no category
