keys,real,docs,classification
DecimalFormatSymbols_getInternationalCurrencySymbol,neither, Returns the international string denoting the local currency.,source
RandomAccessFile_getChannel,source, Returns the unique FileChannel  object associated with this file.,source
ListActivity_getSelectedItemPosition,source, Get the position of the currently selected list item.,source
WebSettings_getUseWideViewPort,source," Gets whether the WebView supports the ""viewport""  HTML meta tag or will use a wide viewport.",source
MtpDevice_getObjectInfo,source, Retrieves the MtpObjectInfo for an object.,source
Resources_getDrawableForDensity,source, Return a drawable object associated with a particular resource ID for the  given screen density in DPI and styled for the specified theme.,source
DrmManagerClient_getDrmObjectType,source, Retrieves the type of rights-protected object  using the specified URI or MIME type.,source
Resources_getDrawableForDensity,source, Return a drawable object associated with a particular resource ID for the  given screen density in DPI and styled for the specified theme.,source
WallpaperManager_getDrawable,source," Retrieve the current system wallpaper; if  no wallpaper is set, the system built-in static wallpaper is returned.",source
CursorWrapper_getWantsAllOnMoveCalls,source, onMove will only be called across processes if this method returns true.,source
NfcF_getTag,source, Get the Tag object backing this TagTechnology object.,source
PropertyChangeEvent_getPropagationId,source," The ""propagationId"" field is reserved for future use.",source
SSLSessionBindingEvent_getName,source," Returns the name to which the object is being bound, or the name  from which the object is being unbound.",source
Socket_getSendBufferSize,source," Get value of the SO_SNDBUF option  for this Socket, that is the buffer size used by the platform  for output on this Socket.",source
CookieManager_getInstance,source, Gets the singleton CookieManager instance.,source
InputSource_getPublicId,source, Get the public identifier for this input source.,source
Display_getDisplayId,source, Gets the display id.,source
LocatorImpl_getColumnNumber,source, Return the saved column number .,source
ShapeDrawable_getIntrinsicHeight,source, Returns the drawable's intrinsic height.,source
Semaphore_getQueueLength,source, Returns an estimate of the number of threads waiting to acquire.,source
FieldPosition_getFieldAttribute,source, Returns the field identifier as an attribute constant  from one of the Field subclasses.,source
CharBuffer_array,source, Returns the char array that backs this  buffer .,source
Signature_getProvider,source, Returns the provider of this signature object.,source
JSONArray_getJSONObject,source, Returns the value at index if it exists and is a JSONObject.,source
NumberFormat_parse,neither, Parses text from the beginning of the given string to produce a number.,source
SslError_getPrimaryError,source, Gets the most severe SSL error in this object's set of errors.,source
AtomicLong_getAndSet,source," Atomically sets the value to newValue and returns the old value,  with memory effects as specified by VarHandle#getAndSet.",source
ScheduledThreadPoolExecutor_shutdownNow,neither," Attempts to stop all actively executing tasks, halts the  processing of waiting tasks, and returns a list of the tasks  that were awaiting execution.",source
FileLock_channel,source, Returns the file channel upon whose file this lock was acquired.,source
ServerSocket_getInetAddress,source, Returns the local address of this server socket.,source
MtpDevice_getObject,source, Returns the data for an object as a byte array.,source
AbstractWindowedCursor_getDouble,source, Returns the value of the requested column as a double.,source
RSAPublicKeySpec_getModulus,source, Returns the modulus.,source
LockSupport_getBlocker,source," Returns the blocker object supplied to the most recent  invocation of a park method that has not yet unblocked, or null  if not blocked.",source
MatrixCursor_getType,source, Returns data type of the given column's value.,source
Preference_getOrder,source, Gets the order of this Preference with respect to other Preference objects on the same level.,source
NetworkInterface_getByName,source, Searches for the network interface with the specified name.,source
BroadcastReceiver_getResultExtras,source," Retrieve the current result extra data, as set by the previous receiver.",source
ScaleGestureDetector_getCurrentSpanX,source, Return the average X distance between each of the pointers forming the  gesture in progress through the focal point.,source
Timestamp_getTimestamp,source, Returns the date and time when the timestamp was generated.,source
RandomAccessFile_getFD,source, Returns the opaque file descriptor object associated with this  stream.,source
MessageDigest_digest,source, Completes the hash computation by performing final operations  such as padding.,source
TextureView_getBitmap,source, Returns a Bitmap representation of the content  of the associated surface texture.,source
MimeTypeMap_getExtensionFromMimeType,source, Return the registered extension for the given MIME type.,source
AudioRecord_getAudioSource,source, Returns the audio recording source.,source
WallpaperManager_getInstance,source, Retrieve a WallpaperManager associated with the given Context.,source
EditTextPreference_getText,source, Gets the text from the SharedPreferences.,source
Equalizer_getProperties,source, Gets the equalizer properties.,source
AlgorithmParameters_getEncoded,source, Returns the parameters encoded in the specified scheme.,source
IllegalFormatConversionException_getArgumentClass,source, Returns the class of the mismatched argument.,source
NfcA_getMaxTransceiveLength,source, Return the maximum number of bytes that can be sent with transceive.,source
LocationManager_getBestProvider,source, Returns the name of the provider that best meets the given criteria.,source
AudioStream_getCodec,source," Returns the AudioCodec, or null if it is not set.",source
ContextThemeWrapper_getResources,source, Returns a Resources instance for the application's package.,source
ParsePosition_getIndex,source, Retrieve the current parse position.,source
CellLocation_getEmpty,source," Return a new CellLocation object representing an unknown  location, or null for unknown/none phone radio types.",source
URL_getProtocol,source, Gets the protocol name of this URL.,source
ExifInterface_getAttributeInt,source, Returns the integer value of the specified tag.,source
MtpStorageInfo_getDescription,source, Returns the description string for the storage unit.,source
EllipticCurve_getField,source, Returns the finite field field that this  elliptic curve is over.,source
URLConnection_getContentLength,source, Returns the value of the content-length header field.,source
StaticLayout_getLineCount,neither, Return the number of lines of text in this layout.,source
AccountManager_get,source, Gets an AccountManager instance associated with a Context.,source
WebViewFragment_getWebView,source, Gets the WebView.,source
Thread_getState,source, Returns the state of this thread.,source
SAXParseException_getPublicId,source, Get the public identifier of the entity where the exception occurred.,source
SSLParameters_getNeedClientAuth,source, Returns whether client authentication should be required.,source
Handler_getErrorManager,source, Retrieves the ErrorManager for this Handler.,source
ListFragment_getListView,source, Get the fragment's list view widget.,source
ReentrantReadWriteLock_getReadLockCount,source, Queries the number of read locks held for this lock.,source
MatrixCursor_getShort,source, Returns the value of the requested column as a short.,source
EasyEditSpan_getSpanTypeId,source, Return a special type identifier for this span class.,source
AbstractCursor_getColumnName,source, Returns the column name at the given zero-based column index.,source
AbstractQueuedSynchronizer_getSharedQueuedThreads,source, Returns a collection containing threads that may be waiting to  acquire in shared mode.,source
Method_getTypeParameters,source," Returns an array of TypeVariable objects that represent the  type variables declared by the generic declaration represented by this  GenericDeclaration object, in declaration order.",source
BroadcastReceiver_getResultData,source," Retrieve the current result data, as set by the previous receiver.",source
DatagramSocket_getSoTimeout,source, Retrieve setting for SO_TIMEOUT.,source
StorageManager_getMountedObbPath,source, Check the mounted path of an Opaque Binary Blob  file.,source
AccountManager_removeAccount,neither, Removes an account from the AccountManager.,source
UsbDeviceConnection_getRawDescriptors,source, Returns the raw USB descriptors for the device.,source
StaticLayout_getTopPadding,source, Returns the  number of extra pixels of ascent padding in the  top line of the Layout.,source
ServerSocket_getSoTimeout,source, Retrieve setting for SO_TIMEOUT.,source
KeyFactory_getInstance,source, Returns a KeyFactory object that converts  public/private keys of the specified algorithm.,source
LayoutAnimationController_getDelay,source, Returns the delay by which the children's animation are offset.,source
Type_getCount,source, Return the total number of accessable cells in the Type.,source
MtpDevice_getThumbnail,source, Returns the thumbnail data for an object as a byte array.,source
BluetoothAdapter_getProfileProxy,source, Get the profile proxy object associated with the profile.,source
Socket_getSoLinger,source, Returns setting for SO_LINGER.,source
RootElement_getContentHandler,source, Gets the SAX ContentHandler.,source
ServerSocket_getReceiveBufferSize,source," Gets the value of the SO_RCVBUF option  for this ServerSocket, that is the proposed buffer size that  will be used for Sockets accepted from this ServerSocket.",source
Calendar_getDisplayName,source, Returns the name of this calendar in the language of the given locale.,source
TypedArray_getDimensionPixelSize,source, Retrieve a dimensional unit attribute at index for use  as a size in raw pixels.,source
MifareUltralight_readPages,source, Read 4 pages .,source
Binder_getCallingUserHandle,source, Return the UserHandle assigned to the process that sent you the  current transaction that is being processed.,source
SQLiteOpenHelper_getWritableDatabase,source, Create and/or open a database that will be used for reading and writing.,source
Socket_getChannel,source," Returns the unique SocketChannel  object associated with this socket, if any.",source
ResourceBundle_getStringArray,source, Gets a string array for the given key from this resource bundle or one of its parents.,source
GregorianCalendar_getGregorianChange,neither, Gets the Gregorian Calendar change date.,source
SynthesisRequest_getSpeechRate,source, Gets the speech rate to use.,source
ScaleGestureDetector_getFocusY,source, Get the Y coordinate of the current gesture's focal point.,source
FileOutputStream_getFD,source, Returns the file descriptor associated with this stream.,source
SQLiteDatabase_getPageSize,source," Returns the current database page size, in bytes.",source
FormatFlagsConversionMismatchException_getMessage,source, Returns the detail message string of this throwable.,source
LogRecord_getThrown,source, Get any throwable associated with the log record.,source
WebResourceResponse_getData,source, Gets the input stream that provides the resource response's data.,source
Mac_doFinal,neither, Processes the given array of bytes and finishes the MAC operation.,source
KeyFactory_getKeySpec,source, Returns a specification  of the given key object.,source
ObjectAnimator_getPropertyName,source, Gets the name of the property that will be animated.,source
Throwable_getSuppressed,source," Returns an array containing all of the exceptions that were  suppressed, typically by the try-with-resources  statement, in order to deliver this exception.",source
IsoDep_transceive,source, Send raw ISO-DEP data to the tag and receive the response.,source
WallpaperManager_getDesiredMinimumHeight,source, Returns the desired minimum height for the wallpaper.,source
URI_getFragment,source, Returns the decoded fragment component of this URI.,source
LayoutAnimationController_getInterpolator,source, Returns the interpolator used to interpolate the delays between the  children.,source
Socket_getReceiveBufferSize,source," Gets the value of the SO_RCVBUF option  for this Socket, that is the buffer size used by the platform  for input on this Socket.",source
SensorManager_getRotationMatrixFromVector,source, Helper function to convert a rotation vector to a rotation matrix.,source
EllipticCurve_getSeed,source, Returns the seeding bytes seed used  during curve generation.,source
SSLContext_getInstance,source, Returns a SSLContext object that implements the  specified secure socket protocol.,source
MergeCursor_getFloat,source, Returns the value of the requested column as a float.,source
BroadcastReceiver_getResultCode,source," Retrieve the current result code, as set by the previous receiver.",source
DynamicDrawableSpan_getVerticalAlignment,source," Returns the vertical alignment of this span, one of ALIGN_BOTTOM,  ALIGN_BASELINE or ALIGN_CENTER.",source
AbstractCursor_getExtras,source, Returns a bundle of extra values.,source
Provider_getName,source, Returns the name of this provider.,source
DateFormatSymbols_getLocalPatternChars,source, Returns localized date-time pattern characters.,source
HandlerThread_getLooper,neither, This method returns the Looper associated with this thread.,source
StringWriter_getBuffer,source, Return the string buffer itself.,source
URLConnection_getConnectTimeout,source, Returns setting for connect timeout.,source
AccountManager_get,source, Gets an AccountManager instance associated with a Context.,source
WebResourceResponse_getEncoding,source, Gets the resource response's encoding.,source
Writer_append,neither, Appends the specified character to this writer.,source
BackupDataInputStream_getKey,source, Report the key string associated with this entity within the backup data set.,source
AbstractQueuedSynchronizer_getQueueLength,source, Returns an estimate of the number of threads waiting to  acquire.,source
SensorManager_getRotationMatrixFromVector,source, Helper function to convert a rotation vector to a rotation matrix.,source
Equalizer_getCenterFreq,source, Gets the center frequency of the given band.,source
DownloadManager_getUriForDownloadedFile,source," Returns the Uri of the given downloaded file id, if the file is  downloaded successfully.",source
StaticLayout_getLineDirections,neither, Returns the directional run information for the specified line.,source
CertPathValidator_getInstance,source, Returns a CertPathValidator object that implements the  specified algorithm.,source
ClassLoader_getParent,source, Returns the parent class loader for delegation.,source
URLConnection_getHeaderFields,source, Returns an unmodifiable Map of the header fields.,source
LocationProvider_getName,source, Returns the name of this provider.,source
AlgorithmParameters_getAlgorithm,source, Returns the name of the algorithm associated with this parameter object.,source
Animation_getDuration,source, How long this animation should last,source
Deflater_getTotalOut,source, Returns the total number of compressed bytes output so far.,source
IllegalFormatPrecisionException_getPrecision,source, Returns the precision,source
CookieSyncManager_createInstance,neither, Create a singleton CookieSyncManager within a context,source
ViewAnimator_getDisplayedChild,source, Returns the index of the currently displayed child view.,source
URLConnection_getDefaultAllowUserInteraction,source, Returns the default value of the allowUserInteraction  field.,source
PreferenceGroup_getPreferenceCount,source, Returns the number of children Preferences.,source
DatagramSocket_getLocalAddress,source, Gets the local address to which the socket is bound.,source
DatePickerDialog_getDatePicker,neither, Returns the DatePicker contained in this dialog.,source
SimpleAdapter_getCount,source, How many items are in the data set represented by this Adapter.,source
CRL_getType,source, Returns the type of this CRL.,source
ExifInterface_getAttributeDouble,source, Returns the double value of the tag that is specified as rational or contains a  double-formatted value.,source
Currency_getSymbol,source, Convenience and compatibility override of getName that  requests the symbol name for the default DISPLAY locale.,source
LogRecord_getThrown,source, Get any throwable associated with the log record.,source
DrmRights_getMimeType,source, Retrieves the MIME type associated with this DrmRights object.,source
Throwable_getCause,source, Returns the cause of this throwable or null if the  cause is nonexistent or unknown.,source
NumberFormat_getInstance,source, NOTE: New users are strongly encouraged to use  NumberFormatter instead of NumberFormat.,source
Signature_getInstance,source, Returns a Signature object that implements the specified signature  algorithm.,source
ZipEntry_getMethod,source, Returns the compression method of the entry.,source
Environment_getDownloadCacheDirectory,source, Return the download/cache content directory.,source
StackTraceElement_getFileName,source, Returns the name of the source file containing the execution point  represented by this stack trace element.,source
BluetoothAdapter_getProfileProxy,source, Get the profile proxy object associated with the profile.,source
DecimalFormat_getNegativeSuffix,source, Affixes: Gets the negative suffix string currently being used to format  numbers.,source
FileInputStream_getChannel,source, Returns the unique FileChannel  object associated with this file input stream.,source
CollationKey_compareTo,neither, Compare this CollationKey to another CollationKey.,source
RandomAccessFile_getFilePointer,source, Returns the current offset in this file.,source
SocketChannel_write,sink, Writes a sequence of bytes to this channel from the given buffer.,source
SearchView_getInputType,source, Returns the input type set on the query text field.,source
AudioRecord_getSampleRate,source, Returns the configured audio sink sample rate in Hz.,source
SSLContext_getInstance,source, Returns a SSLContext object that implements the  specified secure socket protocol.,source
ValueAnimator_getDuration,source, Gets the length of the animation.,source
Method_getName,source," Returns the name of the method represented by this Method  object, as a String.",source
Matrix3f_get,source, Returns the value for a given row and column,source
KeyFactory_getKeySpec,source, Returns a specification  of the given key object.,source
SAXException_getException,source," Return the embedded exception, if any.",source
ParsePosition_getIndex,source, Retrieve the current parse position.,source
MtpDevice_getObject,source, Returns the data for an object as a byte array.,source
URLConnection_getUseCaches,source, Returns the value of this URLConnection's  useCaches field.,source
AutoCompleteTextView_getDropDownHorizontalOffset,source, Gets the horizontal offset used for the auto-complete drop-down list.,source
CertPathValidator_getAlgorithm,source, Returns the algorithm name of this CertPathValidator.,source
NetworkInterface_getHardwareAddress,source, Returns the hardware address  of the interface if it  has one and if it can be accessed given the current privileges.,source
NfcB_transceive,sink, Send raw NFC-B commands to the tag and receive the response.,source
AudioRecord_getRecordingState,source, Returns the recording state of the AudioRecord instance.,source
SocketImpl_toString,source, Returns the address and port of this socket as a String.,source
MtpDevice_getObjectInfo,source, Retrieves the MtpObjectInfo for an object.,source
FocusFinder_getInstance,source, Get the focus finder for this thread.,source
TextToSpeech_getDefaultEngine,source, Gets the package name of the default speech synthesis engine.,source
Method_getParameterTypes,source," Returns an array of Class objects that represent the formal  parameter types, in declaration order, of the executable  represented by this object.",source
JarFile_getJarEntry,source, Returns the JarEntry for the given entry name or  null if not found.,source
DynamicLayout_getEllipsisStart,neither," Return the offset of the first character to be ellipsized away,  relative to the start of the line.",source
Calendar_getActualMaximum,source," Returns the maximum value that this field could have, given the  current date.",source
TypedArray_getIndex,source, Returns an index in the array that has data.,source
KeyStore_getDefaultType,source," Returns the default keystore type as specified by the  keystore.type security property, or the string  ""jks""   if no such property exists.",source
HttpRetryException_getLocation,source, Returns the value of the Location header field if the  error resulted from redirection.,source
WebSettings_getDefaultTextEncodingName,source, Gets the default text encoding name.,source
Geocoder_getFromLocation,source, Provides an array of Addresses that attempt to describe the area immediately surrounding the  given latitude and longitude.,source
RSAPrivateKeySpec_getModulus,source, Returns the modulus.,source
MtpObjectInfo_getCompressedSize,source, Returns the size of the MTP object,source
SipAudioCall_getState,source, Gets the state of the SipSession that carries this call.,source
SipManager_getCallId,source, Gets the call ID from the specified incoming call broadcast intent.,source
ExpandableListActivity_getSelectedPosition,neither, Gets the position  of the currently  selected group or child.,source
FocusFinder_getInstance,source, Get the focus finder for this thread.,source
InputSource_getPublicId,source, Get the public identifier for this input source.,source
AudioTrack_getChannelCount,source, Returns the configured number of channels.,source
AbstractCursor_getExtras,source, Returns a bundle of extra values.,source
TypedArray_getIndexCount,source, Returns the number of indices in the array that actually have data.,source
IsolatedContext_getFilesDir,source, Returns the absolute path to the directory on the filesystem where files  created with openFileOutput are stored.,source
ResourceBundle_keySet,source, Returns a Set of all keys contained in this  ResourceBundle and its parent bundles.,source
Animation_getTransformation,source, Gets the transformation to apply at a specified point in time.,source
NetworkInterface_getName,source, Get the name of this network interface.,source
TypedArray_getDimensionPixelSize,source, Retrieve a dimensional unit attribute at index for use  as a size in raw pixels.,source
MtpStorageInfo_getFreeSpace,source, Returns the amount of free space in the storage unit in bytes,source
IllegalFormatCodePointException_getCodePoint,source, Returns the illegal code point as defined by Character.isValidCodePoint.,source
RadioGroup_getCheckedRadioButtonId,neither, Returns the identifier of the selected radio button in this group.,source
Certificate_getEncoded,source, Returns the encoded form of this certificate.,source
URI_getRawPath,source, Returns the raw path component of this URI.,source
ReentrantReadWriteLock_getQueueLength,source, Returns an estimate of the number of threads waiting to acquire  either the read or write lock.,source
DatagramSocket_getLocalAddress,source, Gets the local address to which the socket is bound.,source
InetSocketAddress_getPort,source, Gets the port number.,source
URLConnection_getHeaderField,source, Returns the value of the named header field.,source
SimpleTimeZone_getRawOffset,source, Gets the GMT offset for this time zone.,source
Signature_toString,source," Returns a string representation of this signature object,  providing information that includes the state of the object  and the name of the algorithm used.",source
PatternSyntaxException_getIndex,source, Retrieves the error index.,source
RadioGroup_getCheckedRadioButtonId,neither, Returns the identifier of the selected radio button in this group.,source
Preference_getWidgetLayoutResource,neither, Gets the layout resource for the controllable widget portion of this Preference.,source
Provider_getService,source, Get the service describing this Provider's implementation of the  specified type of this algorithm or alias.,source
DocumentBuilderFactory_getSchema,source, Gets the Schema object specified through  the setSchema method.,source
RandomAccessFile_getFD,source, Returns the opaque file descriptor object associated with this  stream.,source
InetAddress_getAllByName,source," Given the name of a host, returns an array of its IP addresses,  based on the configured name service on the system.",source
TypedArray_getTextArray,source, Retrieve the CharSequence[] for the attribute at index.,source
SslError_getCertificate,source, Gets the SSL certificate associated with this object.,source
Time_getActualMaximum,source, Return the maximum possible value for the given field given the value of  the other fields.,source
ShortBuffer_get,source, Relative get method.,source
DateFormat_getMediumDateFormat,source, Returns a DateFormat object that can format the date  in medium form  for the context's locale.,source
DecimalFormatSymbols_getAvailableLocales,source, Returns an array of all locales for which the getInstance methods of  this class can return localized instances.,source
LogRecord_getParameters,source, Get the parameters to the log message.,source
FocusFinder_getInstance,source, Get the focus finder for this thread.,source
LogManager_getLoggerNames,source, Get an enumeration of known logger names.,source
Animation_getZAdjustment,source, Returns the Z ordering mode to use while running the animation as  previously set by setZAdjustment.,source
ObjectStreamField_getOffset,source, Offset of field within instance data.,source
AutoCompleteTextView_getValidator,source," Returns the Validator set with setValidator,  or null if it was not set.",source
AbstractQueuedSynchronizer_getSharedQueuedThreads,source, Returns a collection containing threads that may be waiting to  acquire in shared mode.,source
StringCharacterIterator_getIndex,source, Implements CharacterIterator.getIndex for String.,source
ContextThemeWrapper_getResources,source, Returns a Resources instance for the application's package.,source
Animation_getTransformation,source, Gets the transformation to apply at a specified point in time.,source
SipManager_createSipSession,source, Creates a SipSession with the specified profile.,source
URLSpan_getSpanTypeId,source, Return a special type identifier for this span class.,source
MappedByteBuffer_load,neither, Loads this buffer's content into physical memory.,source
UsbRequest_getEndpoint,source," Returns the endpoint for the request, or null if the request is not opened.",source
FrameLayout_getMeasureAllChildren,neither," Determines whether all children, or just those in the VISIBLE or  INVISIBLE state, are considered when measuring.",source
Deflater_getBytesWritten,source, Returns the total number of compressed bytes output so far.,source
URI_getRawSchemeSpecificPart,source, Returns the raw scheme-specific part of this URI.,source
AudioGroup_getMode,source, Returns the current mode.,source
AttributesImpl_getValue,source, Look up an attribute's value by qualified  name.,source
Equalizer_getCenterFreq,source, Gets the center frequency of the given band.,source
SimpleAdapter_getItemId,source, Get the row id associated with the specified position in the list.,source
MtpObjectInfo_getAssociationDesc,source, Returns the association description for the MTP object  Will be zero objects that are not of format  MtpConstants.FORMAT_ASSOCIATION,source
PatternSyntaxException_getMessage,source," Returns a multi-line string containing the description of the syntax  error and its index, the erroneous regular-expression pattern, and a  visual indication of the error index within the pattern.",source
DatePicker_getMaxDate,source," Gets the maximal date supported by this DatePicker in  milliseconds since January 1, 1970 00:00:00 in  TimeZone.getDefault time zone.",source
URI_getPort,source, Returns the port number of this URI.,source
Animation_getStartOffset,source," When this animation should start, relative to StartTime",source
ClassLoader_getResourceAsStream,source, Returns an input stream for reading the specified resource.,source
ClassLoader_loadClass,neither, Loads the class with the specified binary name.,source
AccountManager_getUserData,source," Gets the user data named by ""key"" associated with the account.",source
IllegalFormatFlagsException_getMessage,source, Returns the detail message string of this throwable.,source
CertPathValidator_getProvider,source, Returns the Provider of this  CertPathValidator.,source
MifareUltralight_getTag,source, Get the Tag object backing this TagTechnology object.,source
Socket_getReuseAddress,source, Tests if SO_REUSEADDR is enabled.,source
AccountManager_getAuthenticatorTypes,source, Lists the currently registered authenticators.,source
ValueAnimator_getFrameDelay,neither," The amount of time, in milliseconds, between each frame of the animation.",source
DateFormat_getLongDateFormat,source, Returns a DateFormat object that can format the date  in long form  for the context's locale.,source
X509Certificate_getSubjectAlternativeNames,source," Gets an immutable collection of subject alternative names from the  SubjectAltName extension, .",source
DHPublicKeySpec_getG,source, Returns the base generator g.,source
PKIXParameters_getDate,source, Returns the time for which the validity of the certification path  should be determined.,source
DatagramSocket_getSoTimeout,source, Retrieve setting for SO_TIMEOUT.,source
SSLEngine_getSSLParameters,source, Returns the SSLParameters in effect for this SSLEngine.,source
ScaleGestureDetector_getFocusX,source, Get the X coordinate of the current gesture's focal point.,source
ScheduledThreadPoolExecutor_shutdownNow,neither," Attempts to stop all actively executing tasks, halts the  processing of waiting tasks, and returns a list of the tasks  that were awaiting execution.",source
ClassLoader_loadClass,neither, Loads the class with the specified binary name.,source
Preference_getTitle,source, Returns the title of this Preference.,source
SelectorProvider_inheritedChannel,source, Returns the channel inherited from the entity that created this  Java virtual machine.,source
ViewAnimator_getDisplayedChild,source, Returns the index of the currently displayed child view.,source
Currency_getInstance,source, Returns a currency object given an ISO 4217 3-letter code.,source
Element_getChild,source, Gets the child element with the given name.,source
MediaRouter_getCategoryAt,source, Return the category at the given index.,source
NetworkInterface_getDisplayName,source, Get the display name of this network interface.,source
CertPathValidator_getAlgorithm,source, Returns the algorithm name of this CertPathValidator.,source
EllipticCurve_getB,source, Returns the second coefficient b of the  elliptic curve.,source
EasyEditSpan_getSpanTypeId,source, Return a special type identifier for this span class.,source
PatternSyntaxException_getDescription,source, Retrieves the description of the error.,source
AccessibilityService_getServiceInfo,source, Gets the an AccessibilityServiceInfo describing this  AccessibilityService.,source
IsoDep_getHiLayerResponse,source, Return the higher layer response bytes for NfcB tags.,source
AccessibilityManager_getEnabledAccessibilityServiceList,source, Returns the AccessibilityServiceInfos of the enabled accessibility services  for a given feedback type.,source
ViewStub_getLayoutInflater,neither, Get current LayoutInflater used in inflate.,source
JarEntry_getCodeSigners,source," Returns the CodeSigner objects for this entry, or  null if none.",source
LocalActivityManager_destroyActivity,neither, Destroy the activity associated with a particular id.,source
CharsetDecoder_unmappableCharacterAction,source, Returns this decoder's current action for unmappable-character errors.,source
NumberFormat_format,neither, [icu] Formats a BigInteger.,source
JarEntry_getAttributes,source," Returns the Manifest Attributes for this  entry, or null if none.",source
IllegalFormatFlagsException_getMessage,source, Returns the detail message string of this throwable.,source
TrustAnchor_getTrustedCert,source, Returns the most-trusted CA certificate.,source
SensorManager_getAngleChange,source, Helper function to compute the angle change between two rotation matrices.,source
SAXParseException_getPublicId,source, Get the public identifier of the entity where the exception occurred.,source
KeyGenerator_getAlgorithm,source, Returns the algorithm name of this KeyGenerator object.,source
AccessibilityRecord_getItemCount,source, Gets the number of items that can be visited.,source
SslError_getCertificate,source, Gets the SSL certificate associated with this object.,source
ViewPropertyAnimator_getStartDelay,source, Returns the current startDelay of property animations.,source
CertPath_toString,source, Returns a string representation of this certification path.,source
DrmSupportInfo_getFileSuffixIterator,source,Retrieves an iterator object that you can use to iterate over the file suffixes that  this DRM plug-in supports.,source
Cipher_getProvider,source, Returns the provider of this Cipher object.,source
Thread_getPriority,source, Returns this thread's priority.,source
Looper_getThread,source, Gets the Thread associated with this Looper.,source
StackTraceElement_getFileName,source, Returns the name of the source file containing the execution point  represented by this stack trace element.,source
Mac_getMacLength,source, Returns the length of the MAC in bytes.,source
Array_newInstance,neither, Creates a new array with the specified component type and  length.,source
MtpStorageInfo_getFreeSpace,source, Returns the amount of free space in the storage unit in bytes,source
InterfaceAddress_getBroadcast,source, Returns an InetAddress for the broadcast address  for this InterfaceAddress.,source
ECFieldF2m_getReductionPolynomial,source, Returns a BigInteger whose i-th bit corresponds to the  i-th coefficient of the reduction polynomial for polynomial  basis or null for normal basis.,source
