key,docs,category_map,real_cat
HttpURLConnection_getFollowRedirects, returns a boolean indicating  whether or not http redirects  should  be automatically followed .  a u r l connection with support for http specific features  see  the spec  for details,no category,network connection
HttpURLConnection_getResponseMessage," gets the http response message, if any, returned along with the  response code from a server .  a u r l connection with support for http specific features  see  the spec  for details",no category,network connection
HttpURLConnection_getRequestMethod, get the request method .  a u r l connection with support for http specific features  see  the spec  for details,no category,network connection
HttpURLConnection_getErrorStream, returns the error stream if the connection failed  but the server sent useful data nonetheless .  a u r l connection with support for http specific features  see  the spec  for details,no category,network connection
HttpURLConnection_getHeaderFieldDate, returns the value of the named field parsed as date .  a u r l connection with support for http specific features  see  the spec  for details,no category,network connection
HttpURLConnection_getResponseCode, gets the status code from an http response message .  a u r l connection with support for http specific features  see  the spec  for details,no category,network connection
HttpURLConnection_setRequestMethod," set the method for the url request, one of:  get  post  head  options  put  delete  trace  are legal, subject to protocol restrictions .  a u r l connection with support for http specific features  see  the spec  for details",no category,network connection
MediaMetadataRetriever_getFrameAtTime, call this method after set data source .  media metadata retriever class provides a unified interface for retrieving frame and meta data from an input media file,no category,media
MediaMetadataRetriever_getEmbeddedPicture, call this method after set data source .  media metadata retriever class provides a unified interface for retrieving frame and meta data from an input media file,no category,media
SQLiteDatabase_setVersion, sets the database version .  exposes methods to manage a s q lite database,no category,database
SQLiteDatabase_openOrCreateDatabase," equivalent to open database(file get path, factory, c r e a t e_ i f_ n e c e s s a r y) .  exposes methods to manage a s q lite database",no category,database
SQLiteDatabase_setPageSize, sets the database page size .  exposes methods to manage a s q lite database,no category,database
SQLiteDatabase_update, convenience method for updating rows in the database .  exposes methods to manage a s q lite database,no category,database
SQLiteDatabase_setMaximumSize, sets the maximum size the database will grow to .  exposes methods to manage a s q lite database,no category,database
SQLiteProgram_bindLong, bind a long value to this statement .  a base class for compiled s q lite programs,no category,database
SQLiteProgram_bindBlob, bind a byte array value to this statement .  a base class for compiled s q lite programs,no category,database
SQLiteProgram_bindAllArgsAsStrings," given an array of string bind args, this method binds all of them in one single call .  a base class for compiled s q lite programs",no category,database
SQLiteProgram_bindNull, bind a null value to this statement .  a base class for compiled s q lite programs,no category,database
SQLiteProgram_bindDouble, bind a double value to this statement .  a base class for compiled s q lite programs,no category,database
SQLiteProgram_bindString, bind a string value to this statement .  a base class for compiled s q lite programs,no category,database
ServerSocket_setReuseAddress," enable/disable the s o_ r e u s e a d d r  socket option .  this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",no category,network connection
ServerSocket_setPerformancePreferences," sets performance preferences for this server socket .  this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",no category,network connection
ServerSocket_setSoTimeout," enable/disable s o_ t i m e o u t with the  specified timeout, in milliseconds .  this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",no category,network connection
ServerSocket_getLocalPort," returns the port number on which this socket is listening .  this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",no category,network connection
ServerSocket_setReceiveBufferSize," sets a default proposed value for the  s o_ r c v b u f option for sockets  accepted from this server socket .  this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",no category,network connection
ServerSocket_getInetAddress," returns the local address of this server socket .  this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",no category,network connection
ServerSocket_getReuseAddress," tests if s o_ r e u s e a d d r is enabled .  this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",no category,network connection
ServerSocket_getLocalSocketAddress," returns the address of the endpoint this socket is bound to .  this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",no category,network connection
ServerSocket_getChannel," returns the unique server socket channel object  associated with this socket, if any .  this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",no category,network connection
ServerSocket_getSoTimeout," retrieve setting for s o_ t i m e o u t .  this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",no category,network connection
ServerSocket_bind," binds the server socket to a specific address   .  this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",no category,network connection
ServerSocket_getReceiveBufferSize," gets the value of the s o_ r c v b u f option  for this server socket, that is the proposed buffer size that  will be used for sockets accepted from this server socket .  this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",no category,network connection
URLConnection_getFileNameMap," returns a file name map implementation suitable for guessing a  content type based on a u r l's ""file"" component .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getExpiration," returns the value of the expires header field .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getUseCaches," returns the value of this u r l connection's  use caches field .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getHeaderFieldKey," returns the key for the nth header field .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getHeaderFieldInt," returns the value of the named field parsed as a number .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_setDefaultUseCaches," sets the default value of the use caches field to the  specified value .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_toString," returns a string representation of this url connection .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getDoOutput," returns the value of this u r l connection's  do output flag .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getAllowUserInteraction," returns the value of the allow user interaction field for  this object .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getDefaultAllowUserInteraction," returns the default value of the allow user interaction  field .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getHeaderField," returns the value of the named header field .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getDoInput," returns the value of this u r l connection's  do input flag .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getReadTimeout," returns setting for read timeout .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getIfModifiedSince," returns the value of this object's if modified since field .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getOutputStream," returns an output stream that writes to this connection .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getContent," retrieves the contents of this url connection .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getURL," returns the value of this u r l connection's url  field .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getConnectTimeout," returns setting for connect timeout .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getPermission," returns a permission object representing the permission  necessary to make the connection represented by this  object .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getRequestProperty," returns the value of the named general request property for this  connection .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getInputStream," returns an input stream that reads from this open connection .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getContentEncoding," returns the value of the content-encoding header field .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getLastModified," returns the value of the last-modified header field .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getHeaderFields," returns an unmodifiable map of the header fields .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getDefaultUseCaches," returns the default value of a u r l connection's  use caches flag .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getHeaderFieldDate," returns the value of the named field parsed as date .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_setRequestProperty," sets the general request property .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getContentType," returns the value of the content-type header field .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getDate," returns the value of the date header field .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getContentLength," returns the value of the content-length header field .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
URLConnection_getRequestProperties," returns an unmodifiable map of general request  properties for this connection .  the abstract class u r l connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",no category,network connection
PresetReverb_setPreset," enables a preset on the reverb .  a sound generated within a room travels in many directions  the listener first hears the direct sound from the source itself  later, he or she hears discrete echoes caused by sound bouncing off nearby walls, the ceiling and the floor  as sound waves arrive after undergoing more and more reflections, individual reflections become indistinguishable and the listener hears continuous reverberation that decays over time  reverb is vital for modeling a listener's environment  it can be used in music applications to simulate music being played back in various environments, or in games to immerse the listener within the game's environment  the preset reverb class allows an application to configure the global reverb using a reverb preset  this is primarily used for adding some reverb in a music playback context  applications requiring control over a more advanced environmental reverb are advised to use the environmental reverb class",audio,audio
Virtualizer_setProperties," sets the virtualizer properties .  an audio virtualizer is a general name for an effect to spatialize audio channels  the exact behavior of this effect is dependent on the number of audio input channels and the types and number of audio output channels of the device  for example, in the case of a stereo input and stereo headphone output, a stereo widening effect is used when this effect is turned on",audio,audio
AudioRecord_setNotificationMarkerPosition," sets the marker position at which the listener is called, if set with  set record position update listener or  set record position update listener .  the audio record class manages the audio resources for java applications to record audio from the audio input hardware of the platform  this is achieved by ""pulling""  the data from the audio record object  the application is responsible for polling the audio record object in time using one of the following three methods:  read, read or read  the choice of which method to use will be based on the audio data storage format that is the most convenient for the user of audio record",audio,audio
PresetReverb_setProperties," sets the preset reverb properties .  a sound generated within a room travels in many directions  the listener first hears the direct sound from the source itself  later, he or she hears discrete echoes caused by sound bouncing off nearby walls, the ceiling and the floor  as sound waves arrive after undergoing more and more reflections, individual reflections become indistinguishable and the listener hears continuous reverberation that decays over time  reverb is vital for modeling a listener's environment  it can be used in music applications to simulate music being played back in various environments, or in games to immerse the listener within the game's environment  the preset reverb class allows an application to configure the global reverb using a reverb preset  this is primarily used for adding some reverb in a music playback context  applications requiring control over a more advanced environmental reverb are advised to use the environmental reverb class",audio,audio
Virtualizer_setStrength," sets the strength of the virtualizer effect .  an audio virtualizer is a general name for an effect to spatialize audio channels  the exact behavior of this effect is dependent on the number of audio input channels and the types and number of audio output channels of the device  for example, in the case of a stereo input and stereo headphone output, a stereo widening effect is used when this effect is turned on",audio,audio
AudioManager_setMicrophoneMute, sets the microphone mute on or off .  audio manager provides access to volume and ringer mode control,audio,audio
AudioManager_setStreamVolume, sets the volume index for a particular stream .  audio manager provides access to volume and ringer mode control,audio,audio
AudioTrack_setAuxEffectSendLevel," sets the send level of the audio track to the attached auxiliary effect  attach aux effect .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",audio,audio
AudioManager_setMode, sets the audio mode .  audio manager provides access to volume and ringer mode control,audio,audio
AudioTrack_setPositionNotificationPeriod," sets the period for the periodic notification event .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",audio,audio
AudioTrack_setNotificationMarkerPosition," sets the position of the notification marker .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",audio,audio
Equalizer_setProperties, sets the equalizer properties .  an equalizer is used to alter the frequency response of a particular music source or of the main output mix,audio,audio
AudioManager_setRingerMode, sets the ringer mode .  audio manager provides access to volume and ringer mode control,audio,audio
Equalizer_setBandLevel, sets the given equalizer band to the given gain value .  an equalizer is used to alter the frequency response of a particular music source or of the main output mix,audio,audio
AudioRecord_setPositionNotificationPeriod," sets the period at which the listener is called, if set with  set record position update listener or  set record position update listener .  the audio record class manages the audio resources for java applications to record audio from the audio input hardware of the platform  this is achieved by ""pulling""  the data from the audio record object  the application is responsible for polling the audio record object in time using one of the following three methods:  read, read or read  the choice of which method to use will be based on the audio data storage format that is the most convenient for the user of audio record",audio,audio
AudioTrack_setPlaybackRate," sets the playback sample rate for this track .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",audio,audio
AudioManager_setBluetoothScoOn, request use of bluetooth sco headset for communications .  audio manager provides access to volume and ringer mode control,audio,audio
BassBoost_setProperties, sets the bass boost properties .  bass boost is an audio effect to boost or amplify low frequencies of the sound  it is comparable to a simple equalizer but limited to one band amplification in the low frequency range,audio,audio
AudioTrack_setLoopPoints," sets the loop points and the loop count .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",audio,audio
AudioManager_setSpeakerphoneOn, sets the speakerphone on or off .  audio manager provides access to volume and ringer mode control,audio,audio
BassBoost_setStrength, sets the strength of the bass boost effect .  bass boost is an audio effect to boost or amplify low frequencies of the sound  it is comparable to a simple equalizer but limited to one band amplification in the low frequency range,audio,audio
AudioTrack_setPlaybackHeadPosition," sets the playback head position within the static buffer .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",audio,audio
AudioManager_setParameters, sets a variable number of parameter values to audio hardware .  audio manager provides access to volume and ringer mode control,audio,audio
BluetoothHeadset_getConnectedDevices," get connected devices for this specific profile   for apps targeting build v e r s i o n_ c o d e s# s or or higher,  this requires the manifest permission# b l u e t o o t h_ c o n n e c t  permission which can be gained with  activity request permissions .  public api for controlling the bluetooth headset service  this includes both bluetooth headset and handsfree  profiles",bluetooth,bluetooth
BluetoothHeadset_getDevicesMatchingConnectionStates," get a list of devices that match any of the given connection  states   for apps targeting build v e r s i o n_ c o d e s# s or or higher,  this requires the manifest permission# b l u e t o o t h_ c o n n e c t  permission which can be gained with  activity request permissions .  public api for controlling the bluetooth headset service  this includes both bluetooth headset and handsfree  profiles",bluetooth,bluetooth
BluetoothHeadset_getConnectionState," get the current connection state of the profile  for apps targeting build v e r s i o n_ c o d e s# s or or higher,  this requires the manifest permission# b l u e t o o t h_ c o n n e c t  permission which can be gained with  activity request permissions .  public api for controlling the bluetooth headset service  this includes both bluetooth headset and handsfree  profiles",bluetooth,bluetooth
BluetoothHeadset_startVoiceRecognition, start bluetooth voice recognition .  public api for controlling the bluetooth headset service  this includes both bluetooth headset and handsfree  profiles,bluetooth,bluetooth
CalendarView_getDateTextAppearance, gets the text appearance for the calendar dates .  this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable,calendar information,calendar information
