ind,key1,cat1,c1,doc1,key2,cat2,c2,doc2,cosine,labels
61,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",AppWidgetManager_notifyAppWidgetViewDataChanged,k,8,notify app widget view data changed from app widget manager  notifies the specified collection view in the specified appwidget instance  to invalidate its data,0.02171294204890728,0.21085647102445365
62,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",Preference_notifyDependencyChange,k,8,notify dependency change from preference  notifies any listening dependents of a change that affects the  dependency,0.007050057873129845,0.20352502893656493
63,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",PreparedStatement_executeQuery,k,9,execute query from prepared statement  executes the sql query in this preparedstatement object  and returns the resultset object generated by the query,0.049165867269039154,0.2245829336345196
64,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",Time_format3339,n,1,format3339 from time  return a string in the rfc 3339 format,0.1954410970211029,0.09772054851055145
65,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",RecoverySystem_rebootWipeUserData,n,1,reboot wipe user data from recovery system  reboots the device and wipes the user data and cache  partitions,0.027698339894413948,0.013849169947206974
66,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",Node_getLocalName,n,1,get local name from node  returns the local part of the qualified name of this node,0.0918927863240242,0.0459463931620121
67,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",QName_equals,n,1,equals from name  test this qname for equality with another  object,0.07368716597557068,0.03684358298778534
68,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",IInterface_asBinder,n,1,as binder from interface  retrieve the binder object associated with this interface,0.18680177628993988,0.09340088814496994
69,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",DrmSupportInfo_addFileSuffix,n,1,add file suffix from drm support info  adds the specified file suffix to the list of file suffixes this drm plug-in supports,0.16794250905513763,0.08397125452756882
70,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",InstrumentationTestCase_injectInstrumentation,n,1,inject instrumentation from instrumentation test case  injects instrumentation into this test case,0.009576956741511822,0.004788478370755911
71,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",MediaPlayer_stop,n,1,stop from media player  stops playback after playback has been started or paused,0.0067184800282120705,0.0033592400141060352
72,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",Statement_close,n,1,close from statement  releases this statement object's database  and jdbc resources immediately instead of waiting for  this to happen when it is automatically closed,-0.03496846184134483,-0.017484230920672417
73,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",Camera_reconnect,n,1,reconnect from camera  reconnects to the camera service after another process used it,0.04388675093650818,0.02194337546825409
74,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",ByteBuffer_slice,n,1,slice from byte buffer  creates a new byte buffer whose content is a shared subsequence of  this buffer's content,-0.006749343127012253,-0.0033746715635061264
75,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",StrictMath_sinh,n,1,sinh from strict math  returns the hyperbolic sine of a double value,0.07230358570814133,0.03615179285407066
76,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",RowSetMetaData_setColumnType,n,1,set column type from row set meta data  sets the designated column's sql type to the one given,0.06742580235004425,0.033712901175022125
77,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",IsolatedContext_unregisterReceiver,n,1,unregister receiver from isolated context  unregister a previously registered broadcastreceiver,0.09074275940656662,0.04537137970328331
78,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",Path_transform,n,1,"transform from path  transform the points in this path by matrix, and write the answer  into dst",-0.006156125571578741,-0.0030780627857893705
79,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",MediaPlayer_prepare,n,1,"prepare from media player  prepares the player for playback, synchronously",0.07946932315826416,0.03973466157913208
80,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",StrictMath_hypot,n,1,hypot from strict math  returns sqrt  without intermediate overflow or underflow,-0.00349141051992774,-0.00174570525996387
81,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",Gallery_onDown,n,1,on down from gallery  notified when a tap occurs with the down motionevent  that triggered it,0.0530485138297081,0.02652425691485405
82,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",MessageFormat_parseObject,n,1,parse object from message format  parses text from a string to produce an object array or map,0.0842939093708992,0.0421469546854496
83,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",Security_addProvider,n,1,add provider from security  adds a provider to the next position available,0.023758118972182274,0.011879059486091137
84,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",NinePatch_draw,n,1,draw from nine patch  draws the ninepatch,-0.04953783005475998,-0.02476891502737999
85,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",Timer_schedule,n,1,"schedule from timer  schedules the specified task for repeated fixed-delay execution,  beginning at the specified time",0.04623434320092201,0.023117171600461006
86,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",Array_newInstance,n,1,new instance from array  creates a new array with the specified component type and  length,-0.0431784950196743,-0.02158924750983715
87,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",BitmapRegionDecoder_getHeight,n,1,get height from bitmap region decoder  returns the original image's heigh,0.1389233022928238,0.0694616511464119
88,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",Cipher_init,n,1,init from cipher  initializes this cipher with a key and a set of algorithm  parameters,-0.0043615964241325855,-0.0021807982120662928
89,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",ResultSet_last,n,1,last from result set  moves the cursor to the last row in  this resultset object,0.03037414886057377,0.015187074430286884
90,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",PreferenceActivity_onHeaderClick,n,1,on header click from preference activity  called when the user selects an item in the header list,0.05352449044585228,0.02676224522292614
91,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",HttpCookie_setPath,n,1,set path from http cookie  specifies a path for the cookie to which the client should return  the cookie,-0.02152422070503235,-0.010762110352516174
92,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",Path_moveTo,n,1,move to from path  set the beginning of the next contour to the point ,0.006555989850312471,0.0032779949251562357
93,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",TextSwitcher_addView,n,1,add view from text switcher  adds a child view with the specified layout parameters,-0.022088028490543365,-0.011044014245271683
94,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",TextToSpeech_setSpeechRate,n,1,set speech rate from text to speech  sets the speech rate,0.07989926636219025,0.03994963318109512
95,TelephonyManager_getSimSerialNumber,s,1,"get sim serial number from telephony manager  returns the serial number of the sim, if applicable",TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",0.6364820599555969,1.1182410299777985
96,TelephonyManager_getSimSerialNumber,s,1,"get sim serial number from telephony manager  returns the serial number of the sim, if applicable",TelephonyManager_getSubscriberId,s,1,"get subscriber id from telephony manager  returns the unique subscriber id, for example, the imsi for a gsm phone",0.7112294435501099,1.155614721775055
97,TelephonyManager_getSimSerialNumber,s,1,"get sim serial number from telephony manager  returns the serial number of the sim, if applicable",TelephonyManager_getDataState,s,1,get data state from telephony manager  returns a constant indicating the current data connection state  ,0.5794342160224915,1.0897171080112458
98,TelephonyManager_getSimSerialNumber,s,1,"get sim serial number from telephony manager  returns the serial number of the sim, if applicable",Address_getFeatureName,s,2,"get feature name from address  returns the feature name of the address, for example, ""golden gate bridge"", or null  if it is unknow",0.2302572876214981,0.615128643810749
99,TelephonyManager_getSimSerialNumber,s,1,"get sim serial number from telephony manager  returns the serial number of the sim, if applicable",Address_getUrl,s,2,"get url from address  returns the public url for the address if known,  or null if it is unknown",0.23746547102928162,0.6187327355146408
100,TelephonyManager_getSimSerialNumber,s,1,"get sim serial number from telephony manager  returns the serial number of the sim, if applicable",Calendar_getInstance,s,2,get instance from calendar  returns a calendar with the specified time zone and locale,0.10730104148387909,0.5536505207419395
101,TelephonyManager_getSimSerialNumber,s,1,"get sim serial number from telephony manager  returns the serial number of the sim, if applicable",FileChannel_read,s,3,read from file channel  reads a sequence of bytes from this channel into a subsequence of the  given buffers,0.04033014923334122,0.5201650746166706
102,TelephonyManager_getSimSerialNumber,s,1,"get sim serial number from telephony manager  returns the serial number of the sim, if applicable",FileInputStream_getFD,s,3,get f d from file input stream  returns the filedescriptor  object that represents the connection to  the actual file in the file system being  used by this fileinputstream,0.1392693668603897,0.5696346834301949
103,TelephonyManager_getSimSerialNumber,s,1,"get sim serial number from telephony manager  returns the serial number of the sim, if applicable",SocketChannel_read,s,3,read from socket channel  reads a sequence of bytes from this channel into a subsequence of the  given buffers,0.03200067579746246,0.5160003378987312
104,TelephonyManager_getSimSerialNumber,s,1,"get sim serial number from telephony manager  returns the serial number of the sim, if applicable",DownloadManager_getUriForDownloadedFile,s,3,"get uri for downloaded file from download manager  returns the uri of the given downloaded file id, if the file is  downloaded successfully",0.2919924855232239,0.6459962427616119
105,TelephonyManager_getSimSerialNumber,s,1,"get sim serial number from telephony manager  returns the serial number of the sim, if applicable",KeyPairGenerator_generateKeyPair,s,4,generate key pair from key pair generator  generates a key pair,0.02583802305161953,0.5129190115258098
106,TelephonyManager_getSimSerialNumber,s,1,"get sim serial number from telephony manager  returns the serial number of the sim, if applicable",KeyPairGenerator_getAlgorithm,s,4,get algorithm from key pair generator  returns the standard name of the algorithm for this key pair generator,0.1875353306531906,0.5937676653265953
