class,class_description,method_name,args,return,description,has_description,args_string,aosp-gps,library,key
RtbAdapter,Mediation adapter that also supports open bidding.,loadRtbNativeAd,"['MediationNativeAdConfiguration', 'MediationAdLoadCallback<UnifiedNativeAdMapper', 'MediationNativeAdCallback>']",void,Called by the Google Mobile Ads SDK to begin loading an open bidding native ad given a MediationAdConfigurationUsed to load the winning ad from an open bidding request.,1,MediationNativeAdConfiguration_MediationAdLoadCallback<UnifiedNativeAdMapper_MediationNativeAdCallback>,gps,rtb,RtbAdapter_loadRtbNativeAd
RtbAdapter,Mediation adapter that also supports open bidding.,loadRtbRewardedAd,"['MediationRewardedAdConfiguration', 'MediationAdLoadCallback<MediationRewardedAd', 'MediationRewardedAdCallback>']",void,Called by the Google Mobile Ads SDK to begin loading an open bidding rewarded ad given a MediationAdConfigurationUsed to load the winning ad from an open bidding request.,1,MediationRewardedAdConfiguration_MediationAdLoadCallback<MediationRewardedAd_MediationRewardedAdCallback>,gps,rtb,RtbAdapter_loadRtbRewardedAd
RtbAdapter,Mediation adapter that also supports open bidding.,loadRtbRewardedInterstitialAd,"['MediationRewardedAdConfiguration', 'MediationAdLoadCallback<MediationRewardedAd', 'MediationRewardedAdCallback>']",void,Called by the Google Mobile Ads SDK to begin loading an open bidding rewarded interstitial ad given a MediationAdConfigurationUsed to load the winning ad from an open bidding request.,1,MediationRewardedAdConfiguration_MediationAdLoadCallback<MediationRewardedAd_MediationRewardedAdCallback>,gps,rtb,RtbAdapter_loadRtbRewardedInterstitialAd
RtbSignalData,Data passed into the adapter for signal generation.,getAdSize,[''],AdSize,"Returns the ad size associated with a banner ad request, or null if this signal data is not for a banner ad request.",1,,gps,rtb,RtbSignalData_getAdSize
RtbSignalData,Data passed into the adapter for signal generation.,getConfiguration,[''],MediationConfiguration,deprecated,1,,gps,rtb,RtbSignalData_getConfiguration
RtbSignalData,Data passed into the adapter for signal generation.,getConfigurations,[''],List<MediationConfiguration>,Returns the configurations defined by the publisher in the AdMob or Ad Manager UI.,1,,gps,rtb,RtbSignalData_getConfigurations
RtbSignalData,Data passed into the adapter for signal generation.,getContext,[''],Context,Returns the context.,1,,gps,rtb,RtbSignalData_getContext
RtbSignalData,Data passed into the adapter for signal generation.,getNetworkExtras,[''],Bundle,Returns the extra parameters set by the publisher on a per-request basis for a specific ad network adapter.,1,,gps,rtb,RtbSignalData_getNetworkExtras
SignalCallbacks,Callback for signal generation from 3p SDKs for RTB mediation.,onFailure,['AdError'],abstract void,Called when signal generation fails.,1,AdError,gps,rtb,SignalCallbacks_onFailure
SignalCallbacks,Callback for signal generation from 3p SDKs for RTB mediation.,onFailure,['String'],abstract void,deprecated,1,String,gps,rtb,SignalCallbacks_onFailure
SignalCallbacks,Callback for signal generation from 3p SDKs for RTB mediation.,onSuccess,['String'],abstract void,Success callback for a 3p signal generation.,1,String,gps,rtb,SignalCallbacks_onSuccess
CastSeekBar,A custom seek bar provided by the Cast SDK mimicking the Android SeekBar.,getMaxProgress,[''],int,Returns the maximum progress.,1,,gps,widget,CastSeekBar_getMaxProgress
CastSeekBar,A custom seek bar provided by the Cast SDK mimicking the Android SeekBar.,getProgress,[''],int,Returns the progress.,1,,gps,widget,CastSeekBar_getProgress
CastSeekBar,A custom seek bar provided by the Cast SDK mimicking the Android SeekBar.,onDraw,['Canvas'],void,,0,Canvas,gps,widget,CastSeekBar_onDraw
CastSeekBar,A custom seek bar provided by the Cast SDK mimicking the Android SeekBar.,onTouchEvent,['MotionEvent'],boolean,,0,MotionEvent,gps,widget,CastSeekBar_onTouchEvent
ExpandedControllerActivity,"This abstract class provides most of the implementation of an expanded controller, which is an out-of-the-box remote player, used when casting media to a cast device.",getButtonImageViewAt,['int'],finalImageView,Returns the ImageView of the button at slotIndex in this container.,1,int,gps,widget,ExpandedControllerActivity_getButtonImageViewAt
ExpandedControllerActivity,"This abstract class provides most of the implementation of an expanded controller, which is an out-of-the-box remote player, used when casting media to a cast device.",getButtonSlotCount,[''],final int,Returns the number of slots to hold control buttons in this container.,1,,gps,widget,ExpandedControllerActivity_getButtonSlotCount
ExpandedControllerActivity,"This abstract class provides most of the implementation of an expanded controller, which is an out-of-the-box remote player, used when casting media to a cast device.",getButtonTypeAt,['int'],final int,Returns the type of the button at slotIndex in this container.,1,int,gps,widget,ExpandedControllerActivity_getButtonTypeAt
ExpandedControllerActivity,"This abstract class provides most of the implementation of an expanded controller, which is an out-of-the-box remote player, used when casting media to a cast device.",getSeekBar,[''],SeekBar,deprecated,1,,gps,widget,ExpandedControllerActivity_getSeekBar
ExpandedControllerActivity,"This abstract class provides most of the implementation of an expanded controller, which is an out-of-the-box remote player, used when casting media to a cast device.",getStatusTextView,[''],TextView,Returns the TextView that displays the status text.,1,,gps,widget,ExpandedControllerActivity_getStatusTextView
ExpandedControllerActivity,"This abstract class provides most of the implementation of an expanded controller, which is an out-of-the-box remote player, used when casting media to a cast device.",getUIMediaController,[''],UIMediaController,Returns the UIMediaController used to bind views in this container.,1,,gps,widget,ExpandedControllerActivity_getUIMediaController
ExpandedControllerActivity,"This abstract class provides most of the implementation of an expanded controller, which is an out-of-the-box remote player, used when casting media to a cast device.",onOptionsItemSelected,['MenuItem'],boolean,,0,MenuItem,gps,widget,ExpandedControllerActivity_onOptionsItemSelected
ExpandedControllerActivity,"This abstract class provides most of the implementation of an expanded controller, which is an out-of-the-box remote player, used when casting media to a cast device.",onWindowFocusChanged,['boolean'],void,,0,boolean,gps,widget,ExpandedControllerActivity_onWindowFocusChanged
MiniControllerFragment,A fragment that provides remote control functionality.,getButtonImageViewAt,['int'],finalImageView,Returns the ImageView of the button at slotIndex in this container.,1,int,gps,widget,MiniControllerFragment_getButtonImageViewAt
MiniControllerFragment,A fragment that provides remote control functionality.,getButtonSlotCount,[''],final int,Returns the number of slots to hold control buttons in this container.,1,,gps,widget,MiniControllerFragment_getButtonSlotCount
MiniControllerFragment,A fragment that provides remote control functionality.,getButtonTypeAt,['int'],final int,Returns the type of the button at slotIndex in this container.,1,int,gps,widget,MiniControllerFragment_getButtonTypeAt
MiniControllerFragment,A fragment that provides remote control functionality.,getUIMediaController,[''],UIMediaController,Returns the UIMediaController used to bind views in this container.,1,,gps,widget,MiniControllerFragment_getUIMediaController
MiniControllerFragment,A fragment that provides remote control functionality.,onCreateView,"['LayoutInflater', 'ViewGroup', 'Bundle']",View,,0,LayoutInflater_ViewGroup_Bundle,gps,widget,MiniControllerFragment_onCreateView
MiniControllerFragment,A fragment that provides remote control functionality.,onDestroy,[''],void,,0,,gps,widget,MiniControllerFragment_onDestroy
MiniControllerFragment,A fragment that provides remote control functionality.,onInflate,"['Context', 'AttributeSet', 'Bundle']",void,,0,Context_AttributeSet_Bundle,gps,widget,MiniControllerFragment_onInflate
ControlButtonsContainer,An interface that defines a container which holds a certain number of slots to show control buttons.,getButtonImageViewAt,['int'],abstractImageView,Returns the ImageView of the button at slotIndex in this container.,1,int,gps,widget,ControlButtonsContainer_getButtonImageViewAt
ControlButtonsContainer,An interface that defines a container which holds a certain number of slots to show control buttons.,getButtonSlotCount,[''],abstract int,Returns the number of slots to hold control buttons in this container.,1,,gps,widget,ControlButtonsContainer_getButtonSlotCount
ControlButtonsContainer,An interface that defines a container which holds a certain number of slots to show control buttons.,getButtonTypeAt,['int'],abstract int,Returns the type of the button at slotIndex in this container.,1,int,gps,widget,ControlButtonsContainer_getButtonTypeAt
ControlButtonsContainer,An interface that defines a container which holds a certain number of slots to show control buttons.,getUIMediaController,[''],abstractUIMediaController,Returns the UIMediaController used to bind views in this container.,1,,gps,widget,ControlButtonsContainer_getUIMediaController
Nearby,API for communication with nearby devices.,getConnectionsClient,['Context'],staticConnectionsClient,Creates a new instance of ConnectionsClient.,1,Context,gps,nearby,Nearby_getConnectionsClient
Nearby,API for communication with nearby devices.,getConnectionsClient,['Activity'],staticConnectionsClient,Creates a new instance of ConnectionsClient.,1,Activity,gps,nearby,Nearby_getConnectionsClient
Nearby,API for communication with nearby devices.,getExposureNotificationClient,['Context'],staticExposureNotificationClient,Creates a new instance of ExposureNotificationClient.,1,Context,gps,nearby,Nearby_getExposureNotificationClient
Nearby,API for communication with nearby devices.,getMessagesClient,"['Activity', 'MessagesOptions']",staticMessagesClient,Creates a new instance of MessagesClient.,1,Activity_MessagesOptions,gps,nearby,Nearby_getMessagesClient
Nearby,API for communication with nearby devices.,getMessagesClient,['Activity'],staticMessagesClient,Creates a new instance of MessagesClient.,1,Activity,gps,nearby,Nearby_getMessagesClient
Nearby,API for communication with nearby devices.,getMessagesClient,"['Context', 'MessagesOptions']",staticMessagesClient,Creates a new instance of MessagesClient.,1,Context_MessagesOptions,gps,nearby,Nearby_getMessagesClient
Nearby,API for communication with nearby devices.,getMessagesClient,['Context'],staticMessagesClient,Creates a new instance of MessagesClient.,1,Context,gps,nearby,Nearby_getMessagesClient
PersonBuffer,This class was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,get,['int'],Person,Get the item at the specified position.,1,int,gps,people,PersonBuffer_get
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,getAboutMe,[''],abstractString,A short biography for this person.,1,,gps,people,Person_getAboutMe
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,getAgeRange,[''],abstractPerson.AgeRange,The age range of the person.,1,,gps,people,Person_getAgeRange
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,getBirthday,[''],abstractString,"The person's date of birth, represented as YYYY-MM-DD.",1,,gps,people,Person_getBirthday
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,getBraggingRights,[''],abstractString,"The ""bragging rights"" line of this person.",1,,gps,people,Person_getBraggingRights
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,getCircledByCount,[''],abstract int,"If a Google+ Page and for followers who are visible, the number of people who have added this page to a circle.",1,,gps,people,Person_getCircledByCount
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,getCover,[''],abstractPerson.Cover,The cover photo content.,1,,gps,people,Person_getCover
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,getCurrentLocation,[''],abstractString,The current location for this person.,1,,gps,people,Person_getCurrentLocation
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,getDisplayName,[''],abstractString,"The name of this person, which is suitable for display.",1,,gps,people,Person_getDisplayName
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,getGender,[''],abstract int,The person's gender.,1,,gps,people,Person_getGender
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,getId,[''],abstractString,The ID of this person.,1,,gps,people,Person_getId
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,getImage,[''],abstractPerson.Image,The representation of the person's profile photo.,1,,gps,people,Person_getImage
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,getLanguage,[''],abstractString,The user's preferred language for rendering.,1,,gps,people,Person_getLanguage
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,getName,[''],abstractPerson.Name,An object representation of the individual components of a person's name.,1,,gps,people,Person_getName
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,getNickname,[''],abstractString,The nickname of this person.,1,,gps,people,Person_getNickname
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,getObjectType,[''],abstract int,Type of person within Google+.,1,,gps,people,Person_getObjectType
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,getOrganizations,[''],abstractList<Person.Organizations>,A list of current or past organizations with which this person is associated.,1,,gps,people,Person_getOrganizations
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,getPlacesLived,[''],abstractList<Person.PlacesLived>,A list of places where this person has lived.,1,,gps,people,Person_getPlacesLived
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,getPlusOneCount,[''],abstract int,"If a Google+ Page, the number of people who have +1'd this page.",1,,gps,people,Person_getPlusOneCount
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,getRelationshipStatus,[''],abstract int,The person's relationship status.,1,,gps,people,Person_getRelationshipStatus
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,getTagline,[''],abstractString,The brief description (tagline,1,,gps,people,Person_getTagline
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,getUrl,[''],abstractString,The URL of this person's profile.,1,,gps,people,Person_getUrl
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,getUrls,[''],abstractList<Person.Urls>,A list of URLs for this person.,1,,gps,people,Person_getUrls
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,hasAboutMe,[''],abstract boolean,"Indicates whether the ""aboutMe"" field is explicitly set to a value.",1,,gps,people,Person_hasAboutMe
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,hasAgeRange,[''],abstract boolean,"Indicates whether the ""ageRange"" field is explicitly set to a value.",1,,gps,people,Person_hasAgeRange
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,hasBirthday,[''],abstract boolean,"Indicates whether the ""birthday"" field is explicitly set to a value.",1,,gps,people,Person_hasBirthday
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,hasBraggingRights,[''],abstract boolean,"Indicates whether the ""braggingRights"" field is explicitly set to a value.",1,,gps,people,Person_hasBraggingRights
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,hasCircledByCount,[''],abstract boolean,"Indicates whether the ""circledByCount"" field is explicitly set to a value.",1,,gps,people,Person_hasCircledByCount
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,hasCover,[''],abstract boolean,"Indicates whether the ""cover"" field is explicitly set to a value.",1,,gps,people,Person_hasCover
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,hasCurrentLocation,[''],abstract boolean,"Indicates whether the ""currentLocation"" field is explicitly set to a value.",1,,gps,people,Person_hasCurrentLocation
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,hasDisplayName,[''],abstract boolean,"Indicates whether the ""displayName"" field is explicitly set to a value.",1,,gps,people,Person_hasDisplayName
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,hasGender,[''],abstract boolean,"Indicates whether the ""gender"" field is explicitly set to a value.",1,,gps,people,Person_hasGender
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,hasId,[''],abstract boolean,"Indicates whether the ""id"" field is explicitly set to a value.",1,,gps,people,Person_hasId
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,hasImage,[''],abstract boolean,"Indicates whether the ""image"" field is explicitly set to a value.",1,,gps,people,Person_hasImage
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,hasIsPlusUser,[''],abstract boolean,"Indicates whether the ""isPlusUser"" field is explicitly set to a value.",1,,gps,people,Person_hasIsPlusUser
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,hasLanguage,[''],abstract boolean,"Indicates whether the ""language"" field is explicitly set to a value.",1,,gps,people,Person_hasLanguage
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,hasName,[''],abstract boolean,"Indicates whether the ""name"" field is explicitly set to a value.",1,,gps,people,Person_hasName
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,hasNickname,[''],abstract boolean,"Indicates whether the ""nickname"" field is explicitly set to a value.",1,,gps,people,Person_hasNickname
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,hasObjectType,[''],abstract boolean,"Indicates whether the ""objectType"" field is explicitly set to a value.",1,,gps,people,Person_hasObjectType
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,hasOrganizations,[''],abstract boolean,"Indicates whether the ""organizations"" field is explicitly set to a value.",1,,gps,people,Person_hasOrganizations
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,hasPlacesLived,[''],abstract boolean,"Indicates whether the ""placesLived"" field is explicitly set to a value.",1,,gps,people,Person_hasPlacesLived
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,hasPlusOneCount,[''],abstract boolean,"Indicates whether the ""plusOneCount"" field is explicitly set to a value.",1,,gps,people,Person_hasPlusOneCount
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,hasRelationshipStatus,[''],abstract boolean,"Indicates whether the ""relationshipStatus"" field is explicitly set to a value.",1,,gps,people,Person_hasRelationshipStatus
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,hasTagline,[''],abstract boolean,"Indicates whether the ""tagline"" field is explicitly set to a value.",1,,gps,people,Person_hasTagline
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,hasUrl,[''],abstract boolean,"Indicates whether the ""url"" field is explicitly set to a value.",1,,gps,people,Person_hasUrl
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,hasUrls,[''],abstract boolean,"Indicates whether the ""urls"" field is explicitly set to a value.",1,,gps,people,Person_hasUrls
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,hasVerified,[''],abstract boolean,"Indicates whether the ""verified"" field is explicitly set to a value.",1,,gps,people,Person_hasVerified
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,isPlusUser,[''],abstract boolean,Whether this user has signed up for Google+.,1,,gps,people,Person_isPlusUser
Person,This interface was deprecated. This API has been deprecated. Please refer to Deprecation Notes for details.,isVerified,[''],abstract boolean,Whether the person or Google+ Page has been verified.,1,,gps,people,Person_isVerified
Person.AgeRange,The age range of the person.,getMax,[''],abstract int,"The age range's upper bound, if any.",1,,gps,people,Person.AgeRange_getMax
Person.AgeRange,The age range of the person.,getMin,[''],abstract int,"The age range's lower bound, if any.",1,,gps,people,Person.AgeRange_getMin
Person.AgeRange,The age range of the person.,hasMax,[''],abstract boolean,"Indicates whether the ""max"" field is explicitly set to a value.",1,,gps,people,Person.AgeRange_hasMax
Person.AgeRange,The age range of the person.,hasMin,[''],abstract boolean,"Indicates whether the ""min"" field is explicitly set to a value.",1,,gps,people,Person.AgeRange_hasMin
Person.Cover,The cover photo content.,getCoverInfo,[''],abstractPerson.Cover.CoverInfo,Extra information about the cover photo.,1,,gps,people,Person.Cover_getCoverInfo
Person.Cover,The cover photo content.,getCoverPhoto,[''],abstractPerson.Cover.CoverPhoto,The person's primary cover image.,1,,gps,people,Person.Cover_getCoverPhoto
Person.Cover,The cover photo content.,getLayout,[''],abstract int,The layout of the cover art.,1,,gps,people,Person.Cover_getLayout
Person.Cover,The cover photo content.,hasCoverInfo,[''],abstract boolean,"Indicates whether the ""coverInfo"" field is explicitly set to a value.",1,,gps,people,Person.Cover_hasCoverInfo
Person.Cover,The cover photo content.,hasCoverPhoto,[''],abstract boolean,"Indicates whether the ""coverPhoto"" field is explicitly set to a value.",1,,gps,people,Person.Cover_hasCoverPhoto
Person.Cover,The cover photo content.,hasLayout,[''],abstract boolean,"Indicates whether the ""layout"" field is explicitly set to a value.",1,,gps,people,Person.Cover_hasLayout
Person.Cover.CoverInfo,Extra information about the cover photo.,getLeftImageOffset,[''],abstract int,The difference between the left position of the cover image and the actual displayed cover image.,1,,gps,people,Person.Cover.CoverInfo_getLeftImageOffset
Person.Cover.CoverInfo,Extra information about the cover photo.,getTopImageOffset,[''],abstract int,The difference between the top position of the cover image and the actual displayed cover image.,1,,gps,people,Person.Cover.CoverInfo_getTopImageOffset
Person.Cover.CoverInfo,Extra information about the cover photo.,hasLeftImageOffset,[''],abstract boolean,"Indicates whether the ""leftImageOffset"" field is explicitly set to a value.",1,,gps,people,Person.Cover.CoverInfo_hasLeftImageOffset
Person.Cover.CoverInfo,Extra information about the cover photo.,hasTopImageOffset,[''],abstract boolean,"Indicates whether the ""topImageOffset"" field is explicitly set to a value.",1,,gps,people,Person.Cover.CoverInfo_hasTopImageOffset
Person.Cover.CoverPhoto,The person's primary cover image.,getHeight,[''],abstract int,The height of the image.,1,,gps,people,Person.Cover.CoverPhoto_getHeight
Person.Cover.CoverPhoto,The person's primary cover image.,getUrl,[''],abstractString,The URL of the image.,1,,gps,people,Person.Cover.CoverPhoto_getUrl
Person.Cover.CoverPhoto,The person's primary cover image.,getWidth,[''],abstract int,The width of the image.,1,,gps,people,Person.Cover.CoverPhoto_getWidth
Person.Cover.CoverPhoto,The person's primary cover image.,hasHeight,[''],abstract boolean,"Indicates whether the ""height"" field is explicitly set to a value.",1,,gps,people,Person.Cover.CoverPhoto_hasHeight
Person.Cover.CoverPhoto,The person's primary cover image.,hasUrl,[''],abstract boolean,"Indicates whether the ""url"" field is explicitly set to a value.",1,,gps,people,Person.Cover.CoverPhoto_hasUrl
Person.Cover.CoverPhoto,The person's primary cover image.,hasWidth,[''],abstract boolean,"Indicates whether the ""width"" field is explicitly set to a value.",1,,gps,people,Person.Cover.CoverPhoto_hasWidth
Person.Image,The representation of the person's profile photo.,getUrl,[''],abstractString,The URL of the person's profile photo.,1,,gps,people,Person.Image_getUrl
Person.Image,The representation of the person's profile photo.,hasUrl,[''],abstract boolean,"Indicates whether the ""url"" field is explicitly set to a value.",1,,gps,people,Person.Image_hasUrl
Person.Name,An object representation of the individual components of a person's name.,getFamilyName,[''],abstractString,The family name (last name,1,,gps,people,Person.Name_getFamilyName
Person.Name,An object representation of the individual components of a person's name.,getFormatted,[''],abstractString,"The full name of this person, including middle names, suffixes, etc.",1,,gps,people,Person.Name_getFormatted
Person.Name,An object representation of the individual components of a person's name.,getGivenName,[''],abstractString,The given name (first name,1,,gps,people,Person.Name_getGivenName
Person.Name,An object representation of the individual components of a person's name.,getHonorificPrefix,[''],abstractString,"The honorific prefixes (such as ""Dr."" or ""Mrs.""",1,,gps,people,Person.Name_getHonorificPrefix
Person.Name,An object representation of the individual components of a person's name.,getHonorificSuffix,[''],abstractString,"The honorific suffixes (such as ""Jr.""",1,,gps,people,Person.Name_getHonorificSuffix
